Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"AA","01/06/2020","0016","N821NN","MIA","15:39","112"
"AA","01/06/2020","0023","N967UW","DCA","11:46","98"
"AA","01/06/2020","0033","N967UW","DCA","17:12","87"
"AA","01/06/2020","0440","N662AW","PHX","18:06","264"
"AA","01/06/2020","0476","N656AW","PHX","11:11","246"
"AA","01/06/2020","0649","N950AN","DFW","19:56","142"
"AA","01/06/2020","0799","N755US","CLT","08:52","100"
"AA","01/06/2020","0835","N702UW","LGA","06:36","155"
"AA","01/06/2020","0885","N963UW","LGA","15:36","120"
"AA","01/06/2020","0890","N346PR","LAX","18:19","308"
"AA","01/06/2020","1309","N974AN","DFW","14:12","141"
"AA","01/06/2020","1365","N828AW","DFW","12:24","130"
"AA","01/06/2020","1409","N316PF","LAX","16:08","299"
"AA","01/06/2020","1567","N957AN","DFW","07:57","139"
"AA","01/06/2020","1574","N8009T","ORD","07:45","130"
"AA","01/06/2020","1643","N708UW","CLT","12:24","77"
"AA","01/06/2020","1691","N816AW","ORD","17:53","116"
"AA","01/06/2020","1718","N654AW","CLT","06:50","77"
"AA","01/06/2020","1828","N946UW","PHL","05:19","123"
"AA","01/06/2020","1907","N710UW","PHL","07:34","118"
"AA","01/06/2020","1980","N950UW","PHL","11:41","108"
"AA","01/06/2020","1991","N958UW","PHL","17:51","117"
"AA","01/06/2020","2042","N980NN","DFW","06:49","138"
"AA","01/06/2020","2290","N952NN","DFW","16:31","149"
"AA","01/06/2020","2328","N905AU","LAX","07:25","307"
"AA","01/06/2020","2344","N838NN","MIA","07:19","110"
"AA","01/06/2020","2552","N717UW","MIA","18:54","126"
"AA","01/06/2020","2737","N139AN","LAX","11:09","319"
"AA","01/06/2020","2770","N992AU","DFW","06:00","139"
"AA","01/06/2020","2778","N352PS","DFW","09:58","143"
"AA","01/06/2020","2893","N747UW","ORD","06:12","140"
"AA","01/06/2020","2906","N987AN","MIA","18:01","152"
