Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"DL","01/06/2020","0031","N328DN","DFW","18:38","136"
"DL","01/06/2020","0095","N917DU","DTW","09:27","110"
"DL","01/06/2020","0117","N902DE","BHM","17:37","41"
"DL","01/06/2020","0122","N310DN","BOS","18:00","145"
"DL","01/06/2020","0131","N998AT","GSP","18:17","48"
"DL","01/06/2020","0214","N350NA","JFK","19:28","127"
"DL","01/06/2020","0244","N702DN","JFK","16:45","137"
"DL","01/06/2020","0283","N705DN","LAX","17:55","296"
"DL","01/06/2020","0301","N936AT","SDF","16:47","71"
"DL","01/06/2020","0310","N667DN","MSY","07:26","88"
"DL","01/06/2020","0318","N895AT","MYR","09:40","63"
"DL","01/06/2020","0322","N861DN","JAX","16:49","60"
"DL","01/06/2020","0323","N926DZ","SJU","08:27","205"
"DL","01/06/2020","0329","N971AT","HOU","19:30","127"
"DL","01/06/2020","0332","N932AT","HSV","13:43","50"
"DL","01/06/2020","0340","N999DN","IAD","09:50","95"
"DL","01/06/2020","0342","N872DN","SEA","14:03","352"
"DL","01/06/2020","0346","N689DL","FLL","20:20","113"
"DL","01/06/2020","0370","N911DA","IAH","15:41","129"
"DL","01/06/2020","0379","N582NW","LAS","12:50","274"
"DL","01/06/2020","0380","N681DA","FLL","07:30","113"
"DL","01/06/2020","0386","N382DN","TPA","23:30","81"
"DL","01/06/2020","0400","N303DQ","CVG","07:33","84"
"DL","01/06/2020","0403","N584NW","RSW","17:10","94"
"DL","01/06/2020","0406","N6703D","FLL","12:29","105"
"DL","01/06/2020","0412","N338NB","PIT","20:40","86"
"DL","01/06/2020","0414","N553NW","MCO","10:39","94"
"DL","01/06/2020","0415","N154DL","PDX","09:20","342"
"DL","01/06/2020","0443","N823DX","MCO","06:59","90"
"DL","01/06/2020","0446","N895AT","ORD","13:45","124"
"DL","01/06/2020","0456","N803DN","RIC","13:40","83"
"DL","01/06/2020","0458","N996DL","BNA","08:10","55"
"DL","01/06/2020","0470","N383DN","DAB","19:54","71"
"DL","01/06/2020","0473","N911DQ","GSP","20:39","45"
"DL","01/06/2020","0474","N684DA","PDX","20:25","333"
"DL","01/06/2020","0480","N990AT","IND","12:57","79"
"DL","01/06/2020","0483","N324DX","AUS","14:55","141"
"DL","01/06/2020","0489","N381DZ","SAT","19:20","156"
"DL","01/06/2020","0491","N996DL","ICT","21:29","155"
"DL","01/06/2020","0496","N341NW","HDN","09:40","214"
"DL","01/06/2020","0498","N361NB","DEN","15:00","200"
"DL","01/06/2020","0503","N3732J","EWR","19:15","116"
"DL","01/06/2020","0506","N956AT","DAY","08:17","79"
"DL","01/06/2020","0514","N990AT","GSO","08:56","72"
"DL","01/06/2020","0517","N919AT","GSO","17:08","62"
"DL","01/06/2020","0518","N377DN","LAS","07:00","270"
"DL","01/06/2020","0519","N899AT","HSV","12:14","49"
"DL","01/06/2020","0520","N928AT","MYR","17:59","66"
