Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"UA","01/06/2020","0236","N831UA","IAD","14:35","93"
"UA","01/06/2020","0241","N26208","ORD","10:48","112"
"UA","01/06/2020","0244","N805UA","IAH","09:50","136"
"UA","01/06/2020","0251","N38473","ORD","07:45","132"
"UA","01/06/2020","0260","N855UA","ORD","13:42","110"
"UA","01/06/2020","0410","N453UA","EWR","18:15","163"
"UA","01/06/2020","0533","N77261","DEN","07:00","200"
"UA","01/06/2020","0690","N809UA","EWR","19:45","110"
"UA","01/06/2020","0739","N816UA","EWR","11:15","123"
"UA","01/06/2020","0792","N809UA","EWR","17:15","136"
"UA","01/06/2020","0912","N894UA","SFO","19:12","337"
"UA","01/06/2020","1900","N77536","SFO","07:00","318"
"UA","01/06/2020","2308","N456UA","DEN","16:34","210"
