Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"AA","01/06/2020","0130","N126UW","PHL","06:25","85"
"AA","01/06/2020","0197","N936NN","JFK","06:01","74"
"AA","01/06/2020","0211","N137AA","LAX","06:10","401"
"AA","01/06/2020","0241","N131NN","LAX","19:54","407"
"AA","01/06/2020","0351","N115NN","JFK","12:17","64"
"AA","01/06/2020","0403","N184US","PHX","16:11","362"
"AA","01/06/2020","0479","N974AN","DFW","05:32","279"
"AA","01/06/2020","0544","N188AN","PHL","06:00","104"
"AA","01/06/2020","0580","N845NN","MIA","20:09","220"
"AA","01/06/2020","0631","N582UW","CLT","11:09","138"
"AA","01/06/2020","0653","N604AW","CLT","09:19","140"
"AA","01/06/2020","0756","N834AW","PHL","05:00","83"
"AA","01/06/2020","0967","N815NN","MIA","05:29","209"
"AA","01/06/2020","1057","N185UW","PHX","12:53","393"
"AA","01/06/2020","1094","N935AN","DFW","13:30","296"
"AA","01/06/2020","1099","N187AN","MIA","12:36","209"
"AA","01/06/2020","1109","N957NN","ORD","19:14","174"
"AA","01/06/2020","1131","N185UW","PHL","07:25","88"
"AA","01/06/2020","1161","N567UW","LAX","11:02","380"
"AA","01/06/2020","1170","N860NN","MIA","17:53","212"
"AA","01/06/2020","1201","N818NN","MIA","11:10","204"
"AA","01/06/2020","1239","N875NN","ORD","08:50","182"
"AA","01/06/2020","1259","N866NN","MIA","07:25","195"
"AA","01/06/2020","1283","N110AN","JFK","09:33","61"
"AA","01/06/2020","1287","N339PL","ORD","12:07","167"
"AA","01/06/2020","1320","N150UW","CLT","14:47","148"
"AA","01/06/2020","1418","N801NN","MIA","06:00","215"
"AA","01/06/2020","1453","N825NN","CLT","16:08","155"
"AA","01/06/2020","1509","N309PC","ORD","07:00","206"
"AA","01/06/2020","1657","N930AU","PHL","08:05","104"
"AA","01/06/2020","1776","N808AW","PHL","19:00","97"
"AA","01/06/2020","1801","N198UW","CLT","05:33","136"
"AA","01/06/2020","1853","N900UW","DFW","17:00","273"
"AA","01/06/2020","1902","N102UW","CLT","12:49","166"
"AA","01/06/2020","2033","N193UW","CLT","07:45","154"
"AA","01/06/2020","2059","N744P","CLT","05:05","134"
"AA","01/06/2020","2116","N742PS","DCA","20:00","104"
"AA","01/06/2020","2118","N951UW","LGA","14:00","75"
"AA","01/06/2020","2120","N758US","DCA","19:00","101"
"AA","01/06/2020","2126","N742PS","LGA","08:00","88"
"AA","01/06/2020","2127","N760US","DCA","07:00","99"
"AA","01/06/2020","2129","N955UW","DCA","13:00","119"
"AA","01/06/2020","2130","N831AW","DCA","10:00","93"
"AA","01/06/2020","2132","N958UW","LGA","07:00","107"
"AA","01/06/2020","2136","N965UW","LGA","12:00","73"
"AA","01/06/2020","2137","N959UW","LGA","06:00","88"
"AA","01/06/2020","2139","N760US","DCA","12:00","105"
"AA","01/06/2020","2141","N961UW","LGA","19:00","77"
"AA","01/06/2020","2142","N742PS","DCA","15:00","97"
"AA","01/06/2020","2146","N965UW","LGA","16:00","68"
"AA","01/06/2020","2148","N955UW","DCA","18:00","107"
"AA","01/06/2020","2149","N760US","DCA","17:00","102"
"AA","01/06/2020","2157","N951UW","LGA","18:00","72"
"AA","01/06/2020","2159","N768US","DCA","06:00","111"
"AA","01/06/2020","2160","N808AW","DCA","09:00","98"
"AA","01/06/2020","2162","N947UW","LGA","13:00","86"
"AA","01/06/2020","2163","N959UW","LGA","10:00","112"
"AA","01/06/2020","2169","N768US","DCA","11:00","97"
"AA","01/06/2020","2170","N808AW","DCA","14:00","104"
"AA","01/06/2020","2172","N947UW","LGA","17:00","78"
"AA","01/06/2020","2173","N936NN","DCA","08:00","103"
"AA","01/06/2020","2229","N200NV","PHX","09:35","355"
"AA","01/06/2020","2244","N957UW","PHL","20:00","87"
"AA","01/06/2020","2260","N153UW","PHX","06:00","390"
"AA","01/06/2020","2264","N165NN","ORD","13:30","172"
"AA","01/06/2020","2265","N907NN","ORD","06:00","187"
"AA","01/06/2020","2527","N928AN","DFW","06:25","289"
"AA","01/06/2020","2542","N154AA","LAX","16:36","391"
"AA","01/06/2020","2600","N909AM","DFW","08:17","272"
"AA","01/06/2020","2687","N669AW","CLT","18:49","148"
"AA","01/06/2020","2708","N126AN","LAX","08:47","385"
"AA","01/06/2020","2730","N558UW","DFW","10:00","282"
"AA","01/06/2020","2887","N9025B","MIA","18:51","217"
