Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"DL","01/06/2020","0123","N390DN","ATL","15:55","180"
"DL","01/06/2020","0326","N317US","MCO","11:35","202"
"DL","01/06/2020","0395","N342NW","TPA","15:50","209"
"DL","01/06/2020","0746","N933AT","LGA","08:00","105"
"DL","01/06/2020","0800","N324DX","ATL","11:00","175"
"DL","01/06/2020","0809","N397DN","MSP","06:00","195"
"DL","01/06/2020","0907","N382DA","MCO","15:50","181"
"DL","01/06/2020","0928","N340NB","JFK","06:00","91"
"DL","01/06/2020","0994","N396DN","MSP","08:00","195"
"DL","01/06/2020","1077","N329DN","ATL","14:00","174"
"DL","01/06/2020","1107","N608AT","CVG","08:40","146"
"DL","01/06/2020","1172","N397DN","MSP","14:40","202"
"DL","01/06/2020","1179","N711ZX","LAX","17:24","389"
"DL","01/06/2020","1325","N335NW","FLL","07:00","216"
"DL","01/06/2020","1337","N308DN","DTW","09:00","130"
"DL","01/06/2020","1360","N123DQ","JFK","19:59","80"
"DL","01/06/2020","1466","N395DN","LAS","18:12","366"
"DL","01/06/2020","1498","N382DA","MCO","07:50","183"
"DL","01/06/2020","1500","N6706Q","ATL","17:16","188"
"DL","01/06/2020","1501","N320DN","ATL","07:00","175"
"DL","01/06/2020","1644","N358NW","PBI","15:46","244"
"DL","01/06/2020","1809","N339NW","RSW","07:20","213"
"DL","01/06/2020","1811","N703TW","LAX","07:55","399"
"DL","01/06/2020","1855","N364NW","MIA","15:29","196"
"DL","01/06/2020","1880","N381DZ","ATL","09:25","164"
"DL","01/06/2020","1897","N921DU","LAS","10:05","370"
"DL","01/06/2020","1943","N343NW","DTW","12:51","132"
"DL","01/06/2020","2079","N860DN","DTW","05:45","126"
"DL","01/06/2020","2136","N343NW","TPA","07:00","199"
"DL","01/06/2020","2163","N353NW","DTW","17:22","146"
"DL","01/06/2020","2199","N849DN","SLC","17:25","332"
"DL","01/06/2020","2200","N378NW","RDU","20:54","127"
"DL","01/06/2020","2339","N371NW","MSP","16:36","209"
"DL","01/06/2020","2488","N6715C","SFO","07:40","414"
"DL","01/06/2020","2542","N371NW","MSP","11:40","193"
"DL","01/06/2020","2552","N885DN","ATL","05:45","162"
"DL","01/06/2020","2570","N391DN","ATL","20:15","179"
"DL","01/06/2020","2643","N314DN","ATL","18:44","181"
"DL","01/06/2020","2648","N6701","ATL","08:00","165"
"DL","01/06/2020","2749","N311DN","ATL","12:22","168"
"DL","01/06/2020","2767","N371NB","SLC","06:30","332"
"DL","01/06/2020","2790","N366NW","MSP","19:21","213"
"DL","01/06/2020","2801","N364NW","MIA","06:50","196"
"DL","01/06/2020","2938","N329NW","MCO","19:50","191"
"DL","01/06/2020","2964","N352NW","DTW","18:55","139"
"DL","01/06/2020","2981","N327NW","AUS","19:55","301"
"DL","01/06/2020","2983","N126DU","LGA","07:00","122"
"DL","01/06/2020","2987","N608AT","RDU","14:41","133"
"DL","01/06/2020","2991","N819DX","SEA","06:40","398"
"DL","01/06/2020","3007","N353NW","DTW","10:40","126"
"DL","01/06/2020","3022","N362NB","JFK","17:10","91"
"DL","01/06/2020","3096","N360NB","LGA","09:00","115"
