Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"UA","01/06/2020","0207","N33103","SFO","08:15","407"
"UA","01/06/2020","0351","N12114","SFO","15:40","405"
"UA","01/06/2020","0366","N37287","EWR","09:00","95"
"UA","01/06/2020","0389","N62884","IAD","05:55","88"
"UA","01/06/2020","0416","N79521","DEN","09:34","291"
"UA","01/06/2020","0433","N13113","SFO","06:00","409"
"UA","01/06/2020","0439","N495UA","ORD","18:25","170"
"UA","01/06/2020","0448","N68817","DEN","15:17","290"
"UA","01/06/2020","0449","N67845","ORD","07:00","172"
"UA","01/06/2020","0477","N19117","SFO","10:30","391"
"UA","01/06/2020","0511","N67846","IAD","14:35","99"
"UA","01/06/2020","0525","N62849","IAD","09:45","95"
"UA","01/06/2020","0599","N451UA","ORD","16:40","186"
"UA","01/06/2020","0619","N37274","IAH","13:33","267"
"UA","01/06/2020","0647","N68891","DEN","05:45","280"
"UA","01/06/2020","0652","N37263","DEN","11:52","280"
"UA","01/06/2020","0695","N479UA","EWR","12:00","134"
"UA","01/06/2020","0717","N68843","LAX","18:02","397"
"UA","01/06/2020","0789","N402UA","ORD","19:59","157"
"UA","01/06/2020","1078","N68805","EWR","06:00","81"
"UA","01/06/2020","1116","N76508","LAS","08:50","359"
"UA","01/06/2020","1202","N47414","EWR","18:00","145"
"UA","01/06/2020","1251","N424UA","ORD","10:00","172"
"UA","01/06/2020","1254","N76516","IAH","07:20","263"
"UA","01/06/2020","1425","N497UA","EWR","15:55","94"
"UA","01/06/2020","1551","N77258","EWR","14:00","94"
"UA","01/06/2020","1564","N895UA","ORD","13:20","170"
"UA","01/06/2020","1820","N37420","LAX","07:35","408"
"UA","01/06/2020","2077","N588UA","EWR","07:00","87"
"UA","01/06/2020","2136","N831UA","IAD","19:34","91"
"UA","01/06/2020","2165","N66803","EWR","07:50","95"
"UA","01/06/2020","2195","N472UA","IAH","17:18","278"
"UA","01/06/2020","2400","N512UA","SFO","17:53","403"
