Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"AA","01/06/2020","0124","N195UW","DFW","08:52","102"
"AA","01/06/2020","0317","N871NN","ORD","14:20","140"
"AA","01/06/2020","0420","N901AA","PHX","18:00","105"
"AA","01/06/2020","0482","N663AW","PHX","12:04","102"
"AA","01/06/2020","0573","N559UW","CLT","06:23","187"
"AA","01/06/2020","0706","N997AA","DFW","16:40","106"
"AA","01/06/2020","0884","N164NN","DFW","12:50","111"
"AA","01/06/2020","1067","N161AA","DFW","05:00","119"
"AA","01/06/2020","1160","N125UW","ORD","17:22","148"
"AA","01/06/2020","1404","N923US","PHX","07:50","111"
"AA","01/06/2020","1538","N830NN","MIA","14:41","226"
"AA","01/06/2020","1622","N923NN","DFW","10:45","106"
"AA","01/06/2020","1654","N584UW","CLT","01:15","161"
"AA","01/06/2020","1743","N540UW","CLT","16:28","186"
"AA","01/06/2020","1781","N543UW","PHL","11:35","191"
"AA","01/06/2020","1927","N976NN","DFW","06:00","115"
"AA","01/06/2020","1957","N198UW","CLT","12:09","177"
"AA","01/06/2020","2008","N584UW","CLT","10:16","169"
"AA","01/06/2020","2065","N922US","PHX","14:57","108"
"AA","01/06/2020","2184","N989NN","DFW","20:02","101"
"AA","01/06/2020","2418","N817AW","LAX","19:59","166"
"AA","01/06/2020","2445","N859NN","MIA","10:27","210"
"AA","01/06/2020","2470","N756US","ORD","12:29","137"
"AA","01/06/2020","2534","N811NN","MIA","01:08","210"
"AA","01/06/2020","2612","N149AN","DFW","06:28","118"
"AA","01/06/2020","2635","N147AA","DFW","14:23","114"
"AA","01/06/2020","2655","N905AU","DFW","18:46","109"
"AA","01/06/2020","2771","N871NN","ORD","07:00","133"
"AA","01/06/2020","2793","N862NN","MIA","23:24","200"
