Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"DL","01/06/2020","0367","N370NB","LAX","12:15","134"
"DL","01/06/2020","0653","N370NB","LAX","18:45","135"
"DL","01/06/2020","0802","N852DN","DTW","06:10","147"
"DL","01/06/2020","0888","N336NB","SEA","12:25","193"
"DL","01/06/2020","0920","N383DN","ATL","07:05","148"
"DL","01/06/2020","0960","N110DU","SLC","12:45","109"
"DL","01/06/2020","1045","N852DN","DTW","14:43","161"
"DL","01/06/2020","1165","N888DU","SLC","10:45","95"
"DL","01/06/2020","1185","N366NB","SLC","05:45","94"
"DL","01/06/2020","1202","N811DZ","JFK","11:05","213"
"DL","01/06/2020","1277","N361NB","SLC","17:30","91"
"DL","01/06/2020","1283","N370NW","LAX","06:31","154"
"DL","01/06/2020","1355","N902DN","ATL","15:36","150"
"DL","01/06/2020","1395","N865DN","DTW","16:58","147"
"DL","01/06/2020","1468","N388DA","SEA","06:10","195"
"DL","01/06/2020","1547","N695DL","ATL","12:19","145"
"DL","01/06/2020","1708","N847DN","MSP","11:33","115"
"DL","01/06/2020","1713","N820DN","DTW","12:01","144"
"DL","01/06/2020","1748","N856DN","MSP","19:55","107"
"DL","01/06/2020","1779","N860DN","MSP","14:05","105"
"DL","01/06/2020","1816","N827DN","ATL","10:40","147"
"DL","01/06/2020","1965","N3767","LGA","11:50","204"
"DL","01/06/2020","2475","N927DZ","MSP","16:40","109"
"DL","01/06/2020","2543","N807DN","JFK","06:06","178"
"DL","01/06/2020","2590","N899DN","ATL","14:15","148"
"DL","01/06/2020","2608","N894DN","ATL","06:00","148"
"DL","01/06/2020","2764","N319NB","SEA","14:25","201"
"DL","01/06/2020","2779","N378DA","SLC","08:25","120"
"DL","01/06/2020","2810","N3751B","LGA","17:20","205"
"DL","01/06/2020","2867","N329NB","SEA","19:52","197"
"DL","01/06/2020","3033","N3746H","CVG","13:10","135"
"DL","01/06/2020","3063","N858DZ","ATL","18:02","153"
"DL","01/06/2020","3120","N916DU","MSP","06:00","105"
