Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"UA","01/06/2020","0038","N38473","ORD","20:41","132"
"UA","01/06/2020","0223","N841UA","PHL","17:15","185"
"UA","01/06/2020","0224","N841UA","BUR","09:20","152"
"UA","01/06/2020","0243","N57862","SFO","11:20","169"
"UA","01/06/2020","0245","N69806","TPA","11:00","192"
"UA","01/06/2020","0254","N77865","ORD","17:30","141"
"UA","01/06/2020","0257","N57869","SFO","19:10","177"
"UA","01/06/2020","0259","N61881","MCO","17:35","207"
"UA","01/06/2020","0264","N57862","ORD","19:00","137"
"UA","01/06/2020","0265","N434UA","SNA","08:09","142"
"UA","01/06/2020","0268","N77871","SFO","09:34","161"
"UA","01/06/2020","0270","N871UA","BOI","09:37","125"
"UA","01/06/2020","0281","N468UA","AUS","10:57","122"
"UA","01/06/2020","0293","N38417","MCO","07:50","191"
"UA","01/06/2020","0303","N427UA","LGA","09:22","194"
"UA","01/06/2020","0304","N855UA","ATL","08:06","157"
"UA","01/06/2020","0307","N456UA","ATL","10:53","152"
"UA","01/06/2020","0308","N848UA","CLT","17:45","166"
"UA","01/06/2020","0311","N410UA","SJC","09:45","156"
"UA","01/06/2020","0312","N441UA","COS","09:30","44"
"UA","01/06/2020","0313","N773UA","IAH","13:30","148"
"UA","01/06/2020","0314","N33294","EWR","17:25","212"
"UA","01/06/2020","0318","N454UA","GEG","09:20","153"
"UA","01/06/2020","0320","N440UA","BOS","16:06","197"
"UA","01/06/2020","0324","N4888U","MSO","19:20","143"
"UA","01/06/2020","0328","N769UA","HNL","09:50","425"
"UA","01/06/2020","0329","N39297","EWR","23:55","194"
"UA","01/06/2020","0331","N14230","EWR","15:59","202"
"UA","01/06/2020","0336","N57869","ORD","11:10","154"
"UA","01/06/2020","0338","N410UA","DSM","17:15","95"
"UA","01/06/2020","0339","N69839","SEA","09:30","228"
"UA","01/06/2020","0346","N478UA","ONT","19:15","135"
"UA","01/06/2020","0347","N820UA","LGA","07:50","207"
"UA","01/06/2020","0349","N892UA","FAT","09:40","150"
"UA","01/06/2020","0356","N892UA","FSD","17:15","92"
"UA","01/06/2020","0370","N483UA","AUS","07:51","116"
"UA","01/06/2020","0381","N454UA","MSP","17:30","113"
"UA","01/06/2020","0385","N801UA","OMA","13:50","71"
"UA","01/06/2020","0386","N67827","BOS","17:37","221"
"UA","01/06/2020","0392","N834UA","BNA","11:15","155"
"UA","01/06/2020","0393","N4901U","PDX","19:00","173"
"UA","01/06/2020","0403","N33294","SNA","10:01","146"
"UA","01/06/2020","0406","N73291","LGA","15:52","207"
"UA","01/06/2020","0416","N823UA","PDX","15:55","198"
"UA","01/06/2020","0420","N14240","LAX","10:50","133"
"UA","01/06/2020","0427","N433UA","SAT","10:56","111"
"UA","01/06/2020","0440","N823UA","TUS","09:40","118"
"UA","01/06/2020","0444","N76516","SLC","14:11","97"
"UA","01/06/2020","0445","N846UA","TUL","18:25","93"
"UA","01/06/2020","0448","N39415","LAS","19:31","115"
"UA","01/06/2020","0451","N17229","OMA","17:25","78"
"UA","01/06/2020","0453","N37287","BOI","19:15","127"
"UA","01/06/2020","0458","N824UA","ICT","20:32","70"
"UA","01/06/2020","0461","N38451","IAD","13:25","178"
"UA","01/06/2020","0465","N36207","BIL","19:07","89"
"UA","01/06/2020","0466","N447UA","RNO","13:45","145"
"UA","01/06/2020","0469","N33289","DFW","13:27","107"
"UA","01/06/2020","0478","N75854","ORD","15:54","143"
"UA","01/06/2020","0482","N460UA","ABQ","19:06","71"
"UA","01/06/2020","0486","N480UA","GEG","19:06","151"
"UA","01/06/2020","0489","N77525","IAH","15:41","128"
"UA","01/06/2020","0495","N69804","IAD","11:05","190"
"UA","01/06/2020","0502","N56859","ORD","13:28","138"
"UA","01/06/2020","0503","N62884","CLE","16:00","156"
"UA","01/06/2020","0513","N19136","EWR","11:18","207"
"UA","01/06/2020","0544","N496UA","RDU","17:45","187"
"UA","01/06/2020","0545","N69826","IAH","12:11","131"
"UA","01/06/2020","0559","N37263","LAX","15:40","148"
"UA","01/06/2020","0561","N487UA","MCI","16:00","91"
"UA","01/06/2020","0562","N33266","SNA","19:15","147"
"UA","01/06/2020","0573","N461UA","MSP","11:08","113"
"UA","01/06/2020","0576","N77258","EWR","08:20","190"
"UA","01/06/2020","0593","N440UA","PSP","09:30","133"
"UA","01/06/2020","0594","N61886","PHX","19:05","116"
"UA","01/06/2020","0599","N67846","BOS","07:58","202"
"UA","01/06/2020","0611","N38451","LAS","22:36","110"
"UA","01/06/2020","0627","N29124","EWR","07:29","183"
"UA","01/06/2020","0638","N37252","BZN","19:12","101"
"UA","01/06/2020","0648","N4888U","PIT","10:50","160"
"UA","01/06/2020","0662","N834UA","FCA","19:20","142"
"UA","01/06/2020","0672","N62896","IAD","16:00","183"
"UA","01/06/2020","0677","N432UA","ATL","17:40","163"
"UA","01/06/2020","0682","N57868","ORD","08:00","127"
"UA","01/06/2020","0691","N57868","LAS","15:40","117"
"UA","01/06/2020","0707","N68807","LAS","09:40","115"
"UA","01/06/2020","0709","N420UA","MSN","20:45","123"
"UA","01/06/2020","0710","N68807","SAN","15:41","132"
"UA","01/06/2020","0712","N68891","IAD","09:35","164"
"UA","01/06/2020","0732","N425UA","BZN","09:35","112"
"UA","01/06/2020","0735","N27901","SFO","16:15","158"
"UA","01/06/2020","0737","N76508","SFO","17:15","152"
"UA","01/06/2020","0738","N405UA","BUR","19:07","139"
"UA","01/06/2020","0740","N478UA","MSY","11:15","160"
"UA","01/06/2020","0744","N86534","LAX","13:25","133"
"UA","01/06/2020","0749","N37466","EWR","13:51","198"
"UA","01/06/2020","0752","N57439","BWI","11:22","184"
"UA","01/06/2020","0756","N39416","CID","19:08","113"
"UA","01/06/2020","0763","N405UA","CMH","11:00","157"
"UA","01/06/2020","0773","N73445","SMF","20:11","152"
"UA","01/06/2020","0774","N848UA","CID","11:15","105"
"UA","01/06/2020","0775","N63820","AUS","17:30","114"
"UA","01/06/2020","0802","N801UA","SBA","19:00","150"
"UA","01/06/2020","0813","N75425","LAS","13:46","109"
"UA","01/06/2020","0815","N73275","LAX","22:16","145"
"UA","01/06/2020","0825","N11206","IAH","10:50","131"
"UA","01/06/2020","0831","N36207","DTW","11:04","155"
"UA","01/06/2020","0864","N76502","SNA","15:40","140"
"UA","01/06/2020","0939","N61886","IAD","08:05","175"
"UA","01/06/2020","0948","N425UA","SEA","15:40","180"
"UA","01/06/2020","0970","N419UA","PHX","13:42","106"
"UA","01/06/2020","0976","N67827","SMF","09:41","147"
"UA","01/06/2020","0979","N47414","BOS","11:08","216"
"UA","01/06/2020","1005","N75425","LAS","07:50","114"
"UA","01/06/2020","1013","N804UA","LGA","17:45","213"
"UA","01/06/2020","1026","N876UA","MSN","10:55","120"
"UA","01/06/2020","1034","N37471","IAH","07:00","131"
"UA","01/06/2020","1093","N27477","LAX","07:50","162"
"UA","01/06/2020","1098","N69839","FLL","17:30","241"
"UA","01/06/2020","1103","N67812","IAH","09:40","140"
"UA","01/06/2020","1108","N63820","SAN","10:05","139"
"UA","01/06/2020","1156","N33292","ANC","16:00","360"
"UA","01/06/2020","1184","N63899","IAH","17:25","140"
"UA","01/06/2020","1189","N73860","LAX","09:37","137"
"UA","01/06/2020","1192","N838UA","IAH","05:30","134"
"UA","01/06/2020","1211","N77261","PIT","17:35","165"
"UA","01/06/2020","1226","N469UA","GRR","11:18","146"
"UA","01/06/2020","1239","N876UA","GRR","17:25","145"
"UA","01/06/2020","1271","N812UA","DFW","17:25","103"
"UA","01/06/2020","1274","N890UA","LGA","14:22","196"
"UA","01/06/2020","1283","N76503","OMA","20:41","80"
"UA","01/06/2020","1296","N853UA","IND","11:05","136"
"UA","01/06/2020","1463","N804UA","MKE","10:50","139"
"UA","01/06/2020","1478","N61882","SFO","13:40","159"
"UA","01/06/2020","1491","N34460","IAH","07:50","141"
"UA","01/06/2020","1508","N73445","SAN","13:25","128"
"UA","01/06/2020","1530","N78506","CLE","10:59","147"
"UA","01/06/2020","1582","N418UA","ONT","09:30","136"
"UA","01/06/2020","1591","N846UA","TPA","08:30","191"
"UA","01/06/2020","1613","N775UA","LAX","18:55","141"
"UA","01/06/2020","1635","N871UA","ABQ","15:51","77"
"UA","01/06/2020","1690","N69819","PDX","08:23","179"
"UA","01/06/2020","1723","N28457","SFO","14:46","159"
"UA","01/06/2020","1736","N17133","OGG","10:03","443"
"UA","01/06/2020","1758","N21108","KOA","09:50","449"
"UA","01/06/2020","1767","N443UA","DCA","08:05","180"
"UA","01/06/2020","1792","N412UA","SAT","08:24","117"
"UA","01/06/2020","1799","N77518","RDU","10:50","172"
"UA","01/06/2020","1819","N37420","TPA","17:36","197"
"UA","01/06/2020","1826","N33266","MIA","08:07","212"
"UA","01/06/2020","1840","N845UA","MSY","13:33","143"
"UA","01/06/2020","1869","N447UA","RNO","19:34","156"
"UA","01/06/2020","1887","N418UA","BDL","17:45","202"
"UA","01/06/2020","1898","N33284","DFW","10:50","108"
"UA","01/06/2020","1939","N38268","SMF","15:50","145"
"UA","01/06/2020","1950","N69835","PDX","09:45","186"
"UA","01/06/2020","1966","N69835","CLE","17:30","154"
"UA","01/06/2020","1975","N69826","IAH","19:15","137"
"UA","01/06/2020","2003","N38268","RSW","07:50","196"
"UA","01/06/2020","2028","N37274","IAH","20:41","133"
"UA","01/06/2020","2030","N38479","PHL","10:56","187"
"UA","01/06/2020","2041","N76502","DSM","20:40","104"
"UA","01/06/2020","2104","N66841","SAN","19:25","136"
"UA","01/06/2020","2118","N79521","MSP","13:25","104"
"UA","01/06/2020","2121","N476UA","LGA","16:15","206"
"UA","01/06/2020","2122","N78506","SJC","19:15","156"
"UA","01/06/2020","2135","N39418","IAD","17:35","191"
"UA","01/06/2020","2141","N77261","RNO","09:36","147"
"UA","01/06/2020","2188","N68452","FLL","08:48","215"
"UA","01/06/2020","2214","N39297","LGA","11:22","211"
"UA","01/06/2020","2220","N469UA","CMH","17:37","152"
"UA","01/06/2020","2223","N68817","SEA","19:11","215"
"UA","01/06/2020","2249","N442UA","PHX","15:50","105"
"UA","01/06/2020","2273","N65832","PHX","09:40","117"
"UA","01/06/2020","2300","N498UA","EUG","19:15","167"
"UA","01/06/2020","2307","N14115","LIH","09:35","472"
"UA","01/06/2020","2309","N24211","SEA","07:51","228"
"UA","01/06/2020","2341","N75861","SJC","08:00","155"
