Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"DL","01/06/2020","0340","N999DN","ATL","12:15","107"
"DL","01/06/2020","0343","N391DA","LAS","10:00","348"
"DL","01/06/2020","0548","N905DL","ATL","07:00","119"
"DL","01/06/2020","1317","N956AT","ATL","15:18","101"
"DL","01/06/2020","1359","N934AT","ATL","17:45","108"
"DL","01/06/2020","1442","N990AT","ATL","19:46","109"
"DL","01/06/2020","1520","N985AT","ATL","06:00","101"
"DL","01/06/2020","2220","N349NB","SEA","17:00","362"
"DL","01/06/2020","2578","N944AT","ATL","09:54","104"
"DL","01/06/2020","2660","N3734B","SLC","07:00","305"
