Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"UA","01/06/2020","0208","N64809","LAX","18:30","341"
"UA","01/06/2020","0229","N14121","SAN","08:30","356"
"UA","01/06/2020","0249","N467UA","IAH","17:20","207"
"UA","01/06/2020","0276","N802UA","ORD","12:45","115"
"UA","01/06/2020","0291","N15712","SMF","17:45","367"
"UA","01/06/2020","0319","N35260","LAX","06:45","367"
"UA","01/06/2020","0326","N38417","SEA","17:30","373"
"UA","01/06/2020","0340","N774UA","SFO","17:30","346"
"UA","01/06/2020","0352","N62896","BOS","22:15","80"
"UA","01/06/2020","0374","N81449","ORD","08:15","134"
"UA","01/06/2020","0379","N38424","MCO","07:45","130"
"UA","01/06/2020","0419","N37474","MCO","17:30","130"
"UA","01/06/2020","0424","N18112","SFO","08:15","377"
"UA","01/06/2020","0454","N62849","LAX","12:35","358"
"UA","01/06/2020","0484","N24702","IAH","12:45","206"
"UA","01/06/2020","0511","N842UA","SAT","17:55","232"
"UA","01/06/2020","0542","N61886","DEN","16:00","253"
"UA","01/06/2020","0552","N483UA","ORD","22:15","117"
"UA","01/06/2020","0560","N68891","SFO","16:00","367"
"UA","01/06/2020","0572","N75432","SFO","06:00","382"
"UA","01/06/2020","0641","N479UA","BOS","08:30","81"
"UA","01/06/2020","0655","N68817","BOS","12:45","98"
"UA","01/06/2020","0689","N33289","MCO","22:15","133"
"UA","01/06/2020","0719","N34455","LAX","17:15","362"
"UA","01/06/2020","0721","N420UA","ORD","10:30","118"
"UA","01/06/2020","0778","N14249","MCO","12:30","131"
"UA","01/06/2020","0796","N73283","LAS","08:15","329"
"UA","01/06/2020","0822","N831UA","BOS","17:11","85"
"UA","01/06/2020","0843","N485UA","SFO","22:05","377"
"UA","01/06/2020","0980","N69804","DEN","17:30","229"
"UA","01/06/2020","1094","N37462","LAS","13:30","318"
"UA","01/06/2020","1108","N69819","DEN","05:25","241"
"UA","01/06/2020","1112","N413UA","TPA","13:00","140"
"UA","01/06/2020","1263","N18119","LAS","12:40","325"
"UA","01/06/2020","1281","N25705","MIA","18:30","151"
"UA","01/06/2020","1443","N25705","STT","08:18","229"
"UA","01/06/2020","1586","N806UA","RSW","08:15","155"
"UA","01/06/2020","1627","N409UA","EWR","06:15","89"
"UA","01/06/2020","1751","N458UA","IAH","06:00","198"
"UA","01/06/2020","1785","N39415","FLL","08:15","178"
"UA","01/06/2020","1846","N14735","ORD","06:00","117"
"UA","01/06/2020","1889","N29907","DEN","08:15","248"
"UA","01/06/2020","1893","N57111","SFO","18:45","368"
"UA","01/06/2020","1908","N38257","DEN","12:50","242"
"UA","01/06/2020","1910","N76505","LAS","17:50","355"
"UA","01/06/2020","1924","N489UA","ORD","17:20","131"
"UA","01/06/2020","1964","N63890","SEA","08:30","375"
"UA","01/06/2020","1972","N39461","EWR","17:59","144"
"UA","01/06/2020","2002","N494UA","TPA","08:15","147"
"UA","01/06/2020","2008","N37273","SFO","12:35","376"
"UA","01/06/2020","2021","N64809","SJU","08:15","210"
"UA","01/06/2020","2022","N37267","TPA","17:50","144"
"UA","01/06/2020","2106","N14231","MIA","08:25","169"
"UA","01/06/2020","2110","N68842","PHX","17:50","306"
"UA","01/06/2020","2117","N69816","AUS","08:30","226"
"UA","01/06/2020","2154","N77538","LAX","08:20","380"
"UA","01/06/2020","2180","N37470","RSW","17:30","138"
"UA","01/06/2020","2219","N62884","MCO","09:00","133"
"UA","01/06/2020","2232","N67846","FLL","17:45","166"
"UA","01/06/2020","2245","N13720","DFW","12:45","203"
"UA","01/06/2020","2250","N23707","EWR","08:30","100"
"UA","01/06/2020","2303","N36447","SAN","17:25","338"
"UA","01/06/2020","2305","N38451","DEN","19:35","223"
"UA","01/06/2020","2368","N816UA","ATL","08:25","113"
"UA","01/06/2020","2434","N69816","LAS","17:25","333"
