Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"AA","01/06/2020","0002","N107NN","JFK","08:00","277"
"AA","01/06/2020","0004","N102NN","JFK","11:00","305"
"AA","01/06/2020","0010","N113AN","JFK","21:30","293"
"AA","01/06/2020","0018","N132AN","ORD","19:30","239"
"AA","01/06/2020","0028","N104NN","JFK","23:00","326"
"AA","01/06/2020","0031","N124AA","HNL","08:30","335"
"AA","01/06/2020","0032","N111ZM","JFK","14:00","313"
"AA","01/06/2020","0042","N196UW","PHL","17:13","278"
"AA","01/06/2020","0053","N977UY","PHX","19:42","83"
"AA","01/06/2020","0059","N122NN","KOA","08:34","320"
"AA","01/06/2020","0097","N894NN","DCA","08:54","265"
"AA","01/06/2020","0118","N113AN","JFK","07:00","282"
"AA","01/06/2020","0143","N126AN","HNL","14:30","320"
"AA","01/06/2020","0147","N173US","DFW","16:42","161"
"AA","01/06/2020","0161","N121AN","OGG","17:30","340"
"AA","01/06/2020","0167","N131NN","BOS","10:32","317"
"AA","01/06/2020","0184","N112AN","JFK","17:00","289"
"AA","01/06/2020","0205","N118NN","OGG","14:45","328"
"AA","01/06/2020","0238","N108NN","JFK","10:00","292"
"AA","01/06/2020","0240","N133AN","HNL","07:00","328"
"AA","01/06/2020","0247","N134AN","KOA","17:50","330"
"AA","01/06/2020","0253","N127AA","OGG","08:01","324"
"AA","01/06/2020","0256","N301NW","ORD","09:26","222"
"AA","01/06/2020","0265","N401AN","LIH","12:15","342"
"AA","01/06/2020","0271","N120EE","OGG","09:17","333"
"AA","01/06/2020","0273","N402AN","LIH","08:45","353"
"AA","01/06/2020","0274","N103NN","JFK","12:00","307"
"AA","01/06/2020","0283","N125AA","HNL","10:05","326"
"AA","01/06/2020","0285","N407AN","LIH","17:00","347"
"AA","01/06/2020","0290","N981UY","CLT","11:42","255"
"AA","01/06/2020","0291","N802AN","DFW","06:15","165"
"AA","01/06/2020","0292","N117AN","JFK","00:30","308"
"AA","01/06/2020","0296","N133AN","ORD","23:40","258"
"AA","01/06/2020","0297","N135NN","HNL","17:04","336"
"AA","01/06/2020","0303","N894NN","IAD","22:05","272"
"AA","01/06/2020","0314","N129AA","MIA","05:00","277"
"AA","01/06/2020","0340","N130AN","MIA","00:30","276"
"AA","01/06/2020","0354","N136AN","DFW","17:55","166"
"AA","01/06/2020","0362","N157AA","ORD","01:20","231"
"AA","01/06/2020","0408","N123NN","LAS","13:25","68"
"AA","01/06/2020","0416","N926AN","IAH","13:32","189"
"AA","01/06/2020","0426","N534UW","ORD","15:19","239"
"AA","01/06/2020","0488","N752US","IND","10:45","220"
"AA","01/06/2020","0497","N804AW","SFO","12:30","70"
"AA","01/06/2020","0539","N814AW","AUS","07:00","166"
"AA","01/06/2020","0552","N776XF","CMH","10:03","247"
"AA","01/06/2020","0582","N920US","DFW","12:10","167"
"AA","01/06/2020","0592","N563UW","CLT","06:00","249"
"AA","01/06/2020","0598","N558UW","PHL","15:42","281"
"AA","01/06/2020","0646","N804AW","CMH","17:23","250"
"AA","01/06/2020","0658","N925UY","PHL","11:42","303"
"AA","01/06/2020","0670","N968NN","STL","11:41","197"
"AA","01/06/2020","0702","N156UW","DFW","07:40","167"
"AA","01/06/2020","0851","N998AN","PHL","21:47","285"
"AA","01/06/2020","0869","N139AN","DFW","14:50","170"
"AA","01/06/2020","0890","N346PR","ATL","10:14","233"
"AA","01/06/2020","0892","N919US","SFO","20:00","74"
"AA","01/06/2020","0899","N549UW","PHX","16:44","80"
"AA","01/06/2020","0958","N359PX","AUS","12:13","166"
"AA","01/06/2020","0981","N916US","PHL","22:00","280"
"AA","01/06/2020","1014","N914AN","AUS","16:05","163"
"AA","01/06/2020","1039","N119NN","MIA","06:25","281"
"AA","01/06/2020","1044","N926NN","BDL","21:00","285"
"AA","01/06/2020","1071","N926AN","ATL","22:52","248"
"AA","01/06/2020","1095","N986NN","SFO","18:17","73"
"AA","01/06/2020","1179","N974UY","CLT","08:54","254"
"AA","01/06/2020","1268","N148AN","MIA","12:31","276"
"AA","01/06/2020","1292","N986NN","BNA","23:09","234"
"AA","01/06/2020","1297","N774AN","MIA","13:03","284"
"AA","01/06/2020","1314","N928AM","MIA","23:30","278"
"AA","01/06/2020","1319","N116AN","MIA","09:15","298"
"AA","01/06/2020","1339","N997NN","IAD","09:05","251"
"AA","01/06/2020","1366","N123NN","LAS","08:38","65"
"AA","01/06/2020","1384","N937AN","ORD","11:25","239"
"AA","01/06/2020","1409","N316PF","ATL","08:00","235"
"AA","01/06/2020","1423","N154AA","BOS","06:02","286"
"AA","01/06/2020","1483","N805AW","IND","22:50","224"
"AA","01/06/2020","1505","N921US","CLT","00:30","265"
"AA","01/06/2020","1555","N953NN","LAS","11:56","68"
"AA","01/06/2020","1582","N921US","CLT","13:40","251"
"AA","01/06/2020","1598","N134AN","ORD","07:00","224"
"AA","01/06/2020","1628","N150NN","BOS","15:40","309"
"AA","01/06/2020","1638","N817AW","IAH","06:45","192"
"AA","01/06/2020","1662","N928AM","PHX","07:22","86"
"AA","01/06/2020","1702","N545UW","PHX","10:05","78"
"AA","01/06/2020","1763","N346PR","LAS","21:37","63"
"AA","01/06/2020","1768","N9006","EGE","10:22","142"
"AA","01/06/2020","1779","N155NN","LAS","14:55","66"
"AA","01/06/2020","1797","N820AW","SAT","08:53","168"
"AA","01/06/2020","1799","N281AY","PHL","07:45","264"
