Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"DL","01/06/2020","0129","N834DN","SEA","11:55","176"
"DL","01/06/2020","0284","N710DN","ATL","07:45","228"
"DL","01/06/2020","0369","N321NB","AUS","12:59","164"
"DL","01/06/2020","0459","N543US","LAS","07:45","67"
"DL","01/06/2020","0468","N1603","JFK","12:40","288"
"DL","01/06/2020","0623","N3765","CMH","22:35","242"
"DL","01/06/2020","0653","N370NB","DEN","14:30","124"
"DL","01/06/2020","0699","N6705Y","LAS","12:45","68"
"DL","01/06/2020","0835","N3738B","MSY","09:45","202"
"DL","01/06/2020","0943","N396DA","RDU","10:20","251"
"DL","01/06/2020","0990","N929DZ","SEA","15:15","159"
"DL","01/06/2020","1005","N539US","MSP","15:20","200"
"DL","01/06/2020","1008","N546US","ATL","06:15","226"
"DL","01/06/2020","1010","N315NB","PDX","19:59","131"
"DL","01/06/2020","1061","N913DU","MCO","10:00","264"
"DL","01/06/2020","1110","N364DX","ATL","12:01","245"
"DL","01/06/2020","1121","N545US","HNL","10:45","350"
"DL","01/06/2020","1125","N6710E","ATL","15:30","229"
"DL","01/06/2020","1140","N3759","PDX","09:50","150"
"DL","01/06/2020","1162","N16065","JFK","21:00","300"
"DL","01/06/2020","1174","N321NB","LAS","09:00","74"
"DL","01/06/2020","1195","N823DN","ATL","23:55","244"
"DL","01/06/2020","1206","N681DA","ATL","17:40","229"
"DL","01/06/2020","1219","N543US","OGG","12:30","330"
"DL","01/06/2020","1225","N371NB","SAN","21:39","43"
"DL","01/06/2020","1228","N370NB","DEN","07:59","128"
"DL","01/06/2020","1242","N590NW","DTW","11:50","263"
"DL","01/06/2020","1246","N333NB","AUS","17:05","166"
"DL","01/06/2020","1258","N179DN","JFK","07:55","293"
"DL","01/06/2020","1287","N381DN","SEA","07:50","191"
"DL","01/06/2020","1298","N540US","KOA","16:45","331"
"DL","01/06/2020","1301","N806DN","TPA","10:35","257"
"DL","01/06/2020","1305","N693DL","MCO","22:55","267"
"DL","01/06/2020","1314","N387DA","CVG","22:50","230"
"DL","01/06/2020","1316","N3773D","MEM","17:15","198"
"DL","01/06/2020","1327","N317NB","SFO","12:58","66"
"DL","01/06/2020","1328","N322NB","PDX","16:05","147"
"DL","01/06/2020","1332","N821DN","SFO","21:16","69"
"DL","01/06/2020","1335","N592NW","MSP","06:16","211"
"DL","01/06/2020","1347","N693DL","MSP","13:00","203"
"DL","01/06/2020","1358","N3750D","MSP","11:19","208"
"DL","01/06/2020","1364","N315NB","PDX","13:45","145"
"DL","01/06/2020","1371","N907DN","MSP","18:25","199"
"DL","01/06/2020","1381","N822DX","LIH","17:55","347"
"DL","01/06/2020","1404","N316DN","SLC","07:05","117"
"DL","01/06/2020","1436","N191DN","JFK","06:05","317"
"DL","01/06/2020","1443","N357NW","DEN","19:59","130"
"DL","01/06/2020","1449","N315DN","ATL","14:20","241"
"DL","01/06/2020","1461","N537US","DTW","07:25","238"
"DL","01/06/2020","1508","N333NW","DFW","12:59","179"
"DL","01/06/2020","1526","N711ZX","BOS","08:00","304"
"DL","01/06/2020","1530","N328DN","ATL","10:30","233"
"DL","01/06/2020","1559","N593NW","HNL","16:05","325"
"DL","01/06/2020","1576","N357NW","DFW","07:00","173"
"DL","01/06/2020","1587","N377DA","SEA","06:00","185"
"DL","01/06/2020","1623","N538US","MSP","08:20","210"
"DL","01/06/2020","1631","N702TW","DCA","08:10","267"
"DL","01/06/2020","1648","N371DN","SLC","16:39","110"
"DL","01/06/2020","1678","N370NW","DFW","17:59","166"
"DL","01/06/2020","1706","N812DN","DTW","09:05","253"
"DL","01/06/2020","1729","N3735D","LAS","18:59","61"
"DL","01/06/2020","1806","N315NB","SFO","09:05","71"
"DL","01/06/2020","1812","N317NB","PDX","06:40","147"
"DL","01/06/2020","1836","N918DU","SEA","19:19","182"
"DL","01/06/2020","1873","N354NB","IND","22:55","233"
"DL","01/06/2020","1901","N353DN","ATL","16:53","235"
"DL","01/06/2020","1908","N179DN","JFK","22:36","296"
"DL","01/06/2020","1954","N584NW","ATL","08:45","242"
"DL","01/06/2020","1969","N585NW","MSP","00:25","203"
"DL","01/06/2020","2071","N703TW","SLC","18:55","112"
"DL","01/06/2020","2091","N536US","LAS","16:15","71"
"DL","01/06/2020","2164","N183DN","JFK","09:25","321"
"DL","01/06/2020","2189","N686DA","MCO","15:10","256"
"DL","01/06/2020","2204","N703TW","SLC","13:05","114"
"DL","01/06/2020","2226","N873DN","SFO","19:42","65"
"DL","01/06/2020","2237","N3756","MSY","12:59","202"
"DL","01/06/2020","2262","N174DN","JFK","14:15","298"
"DL","01/06/2020","2282","N679DA","ATL","22:30","229"
"DL","01/06/2020","2313","N393DA","SFO","07:00","67"
"DL","01/06/2020","2377","N321US","SLC","06:00","118"
"DL","01/06/2020","2388","N3771K","SEA","20:55","158"
"DL","01/06/2020","2434","N3765","BNA","09:54","225"
