Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"UA","01/06/2020","0247","N14106","EWR","07:15","283"
"UA","01/06/2020","0261","N27477","MCO","10:39","273"
"UA","01/06/2020","0269","N57864","ORD","12:40","237"
"UA","01/06/2020","0283","N437UA","SFO","19:45","90"
"UA","01/06/2020","0314","N775UA","DEN","13:10","131"
"UA","01/06/2020","0325","N37464","LAS","21:04","63"
"UA","01/06/2020","0398","N415UA","SFO","22:45","78"
"UA","01/06/2020","0400","N24212","LAS","14:30","65"
"UA","01/06/2020","0411","N77535","IAD","23:30","269"
"UA","01/06/2020","0415","N775UA","EWR","23:15","291"
"UA","01/06/2020","0417","N76526","OGG","08:40","336"
"UA","01/06/2020","0447","N77538","SFO","12:15","72"
"UA","01/06/2020","0454","N86534","OGG","16:33","340"
"UA","01/06/2020","0460","N66897","SFO","15:45","80"
"UA","01/06/2020","0471","N850UA","SFO","06:30","78"
"UA","01/06/2020","0479","N17122","EWR","14:30","287"
"UA","01/06/2020","0481","N78540","SFO","18:30","76"
"UA","01/06/2020","0488","N34222","SFO","08:54","94"
"UA","01/06/2020","0494","N73276","IAH","18:20","181"
"UA","01/06/2020","0510","N17104","EWR","12:15","295"
"UA","01/06/2020","0584","N35260","IAD","22:45","274"
"UA","01/06/2020","0613","N35260","ORD","10:40","223"
"UA","01/06/2020","0642","N596UA","EWR","10:15","310"
"UA","01/06/2020","0653","N39450","IAD","13:40","265"
"UA","01/06/2020","0660","N27477","ORD","23:59","234"
"UA","01/06/2020","0700","N76533","IAH","15:18","195"
"UA","01/06/2020","0708","N19141","SFO","09:30","95"
"UA","01/06/2020","0746","N14240","CLE","13:25","249"
"UA","01/06/2020","0783","N62849","IAD","16:30","265"
"UA","01/06/2020","0824","N68843","BOS","08:40","298"
"UA","01/06/2020","1146","N27205","ORD","00:55","219"
"UA","01/06/2020","1158","N215UA","HNL","08:30","311"
"UA","01/06/2020","1170","N37427","HNL","18:33","342"
"UA","01/06/2020","1241","N416UA","IAH","13:17","200"
"UA","01/06/2020","1260","N24212","LAS","08:34","67"
"UA","01/06/2020","1431","N73860","HNL","12:50","337"
"UA","01/06/2020","1454","N34455","LAS","22:35","64"
"UA","01/06/2020","1480","N12109","EWR","00:15","268"
"UA","01/06/2020","1701","N68843","BWI","22:55","282"
"UA","01/06/2020","1711","N57855","DEN","16:08","136"
"UA","01/06/2020","1771","N28478","DEN","18:14","126"
"UA","01/06/2020","1855","N66828","IAH","01:00","174"
"UA","01/06/2020","1882","N17002","EWR","21:15","279"
"UA","01/06/2020","1896","N62894","LAS","19:35","75"
"UA","01/06/2020","1897","N18223","ORD","14:03","240"
"UA","01/06/2020","1902","N69824","IAH","10:45","181"
"UA","01/06/2020","1909","N17233","IAH","05:30","190"
"UA","01/06/2020","1942","N37420","DEN","13:13","142"
"UA","01/06/2020","1960","N589UA","EWR","16:15","287"
"UA","01/06/2020","1981","N24202","IAH","12:01","192"
"UA","01/06/2020","2039","N75858","ORD","08:30","232"
"UA","01/06/2020","2048","N37263","LAS","18:45","63"
"UA","01/06/2020","2049","N62896","DEN","11:13","131"
"UA","01/06/2020","2062","N68834","IAH","01:46","164"
"UA","01/06/2020","2070","N87527","SFO","11:03","86"
"UA","01/06/2020","2142","N14240","DEN","06:30","138"
"UA","01/06/2020","2186","N87512","SFO","10:45","75"
"UA","01/06/2020","2201","N468UA","SFO","21:10","78"
"UA","01/06/2020","2217","N546UA","EWR","06:45","273"
"UA","01/06/2020","2246","N67812","LAS","17:27","64"
"UA","01/06/2020","2265","N77865","ORD","07:00","217"
"UA","01/06/2020","2291","N53442","ORD","22:55","228"
"UA","01/06/2020","2293","N86534","DEN","09:00","138"
"UA","01/06/2020","2305","N34455","IAD","08:22","258"
"UA","01/06/2020","2353","N78540","IAH","06:00","189"
"UA","01/06/2020","2359","N66825","IAH","08:18","186"
"UA","01/06/2020","2361","N68834","IAH","10:21","184"
"UA","01/06/2020","2365","N37464","LAS","16:30","64"
"UA","01/06/2020","2373","N77535","KOA","08:43","329"
"UA","01/06/2020","2387","N69833","LAS","11:00","70"
"UA","01/06/2020","2402","N19136","BOS","22:40","298"
"UA","01/06/2020","2410","N37456","MCO","22:49","271"
"UA","01/06/2020","2418","N16009","EWR","08:15","269"
