Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"AA","01/06/2020","0019","N770UW","RDU","14:40","97"
"AA","01/06/2020","0040","N971NN","LGA","16:30","115"
"AA","01/06/2020","0041","N970NN","DFW","20:21","152"
"AA","01/06/2020","0054","N897NN","CLT","15:39","113"
"AA","01/06/2020","0075","N815AA","HNL","10:00","519"
"AA","01/06/2020","0165","N814AA","HNL","14:30","533"
"AA","01/06/2020","0168","N921NN","LAS","12:25","230"
"AA","01/06/2020","0200","N540UW","PHX","09:40","242"
"AA","01/06/2020","0233","N809NN","MIA","12:15","168"
"AA","01/06/2020","0234","N996NN","BWI","11:50","93"
"AA","01/06/2020","0245","N163AA","LAX","20:25","262"
"AA","01/06/2020","0272","N935NN","JFK","11:44","112"
"AA","01/06/2020","0294","N309PC","LGA","20:30","122"
"AA","01/06/2020","0295","N954NN","LGA","18:30","120"
"AA","01/06/2020","0309","N125UW","DEN","13:45","155"
"AA","01/06/2020","0317","N871NN","DEN","11:50","162"
"AA","01/06/2020","0325","N951NN","LGA","15:30","112"
"AA","01/06/2020","0328","N801AC","DFW","05:15","146"
"AA","01/06/2020","0345","N342PM","SFO","07:04","287"
"AA","01/06/2020","0379","N174US","CLT","10:16","119"
"AA","01/06/2020","0381","N970NN","LGA","13:30","112"
"AA","01/06/2020","0395","N912AN","SJU","08:40","269"
"AA","01/06/2020","0398","N989NN","LGA","06:30","111"
"AA","01/06/2020","0447","N560UW","PHX","07:05","239"
"AA","01/06/2020","0483","N971UY","CLT","18:25","117"
"AA","01/06/2020","0484","N962AN","DCA","20:36","107"
"AA","01/06/2020","0521","N912AN","SLC","20:24","201"
"AA","01/06/2020","0527","N354PT","LGA","10:30","122"
"AA","01/06/2020","0540","N932NN","DFW","11:30","146"
"AA","01/06/2020","0562","N163AA","PHX","10:55","233"
"AA","01/06/2020","0575","N994AN","DCA","12:10","103"
"AA","01/06/2020","0601","N989NN","PHX","13:27","236"
"AA","01/06/2020","0619","N921AN","PBI","08:35","181"
"AA","01/06/2020","0630","N824NN","PHX","15:47","228"
"AA","01/06/2020","0709","N875NN","SFO","20:20","299"
"AA","01/06/2020","0768","N822AW","BDL","15:15","106"
"AA","01/06/2020","0797","N979UY","PHX","08:21","258"
"AA","01/06/2020","0803","N354PT","LGA","17:30","115"
"AA","01/06/2020","0898","N157AA","LAX","07:44","259"
"AA","01/06/2020","0947","N907NN","DFW","09:00","157"
"AA","01/06/2020","0952","N747UW","SRQ","08:55","158"
"AA","01/06/2020","0985","N848NN","DCA","07:12","95"
"AA","01/06/2020","1002","N822AW","DCA","09:27","86"
"AA","01/06/2020","1012","N813AW","SAT","20:35","179"
"AA","01/06/2020","1022","N875NN","PBI","12:00","194"
"AA","01/06/2020","1025","N909AN","SAN","09:55","296"
"AA","01/06/2020","1029","N155NN","LAX","10:00","280"
"AA","01/06/2020","1030","N908NN","CLT","20:35","100"
"AA","01/06/2020","1045","N962AN","SEA","09:55","303"
"AA","01/06/2020","1046","N339PL","AUS","15:05","159"
"AA","01/06/2020","1051","N943NN","SNA","10:06","285"
"AA","01/06/2020","1062","N987NN","STL","18:30","72"
"AA","01/06/2020","1073","N937NN","STL","20:25","73"
"AA","01/06/2020","1079","N972NN","DCA","14:10","114"
"AA","01/06/2020","1101","N927NN","TPA","12:05","147"
"AA","01/06/2020","1121","N918AN","MCO","08:40","151"
"AA","01/06/2020","1135","N886NN","MSP","11:55","83"
"AA","01/06/2020","1156","N338PK","SJC","17:15","277"
"AA","01/06/2020","1162","N837AW","TUS","09:45","221"
"AA","01/06/2020","1163","N920US","LAX","08:33","286"
"AA","01/06/2020","1165","N913NN","SEA","11:53","300"
"AA","01/06/2020","1168","N927UW","SAN","13:25","254"
"AA","01/06/2020","1169","N778XF","STL","06:55","65"
"AA","01/06/2020","1172","N918NN","BOS","18:30","114"
"AA","01/06/2020","1173","N730US","PIT","18:40","80"
"AA","01/06/2020","1206","N949AN","RSW","15:00","175"
"AA","01/06/2020","1211","N843NN","EWR","08:56","106"
"AA","01/06/2020","1244","N542UW","SAN","20:39","249"
"AA","01/06/2020","1245","N930NN","PIT","08:27","79"
"AA","01/06/2020","1247","N871NN","EWR","19:20","102"
"AA","01/06/2020","1251","N973AN","BOS","17:14","122"
"AA","01/06/2020","1269","N805NN","MIA","09:50","167"
"AA","01/06/2020","1270","N897NN","TPA","08:40","153"
"AA","01/06/2020","1277","N841NN","MIA","18:40","175"
"AA","01/06/2020","1289","N730US","SLC","10:00","213"
"AA","01/06/2020","1308","N992AN","MIA","14:55","189"
"AA","01/06/2020","1312","N948NN","SJC","09:56","294"
"AA","01/06/2020","1315","N969AN","IAH","13:47","164"
"AA","01/06/2020","1318","N816AW","IAH","20:26","157"
"AA","01/06/2020","1359","N921AN","PHL","17:00","113"
"AA","01/06/2020","1375","N134AN","LAX","15:00","263"
"AA","01/06/2020","1387","N972NN","DEN","20:45","149"
"AA","01/06/2020","1411","N827NN","MIA","06:00","178"
"AA","01/06/2020","1438","N171US","MIA","08:30","184"
"AA","01/06/2020","1440","N981NN","SMF","20:40","272"
"AA","01/06/2020","1442","N813AW","PDX","09:56","281"
"AA","01/06/2020","1452","N708UW","ATL","07:15","109"
"AA","01/06/2020","1485","N996NN","SEA","17:40","280"
"AA","01/06/2020","1491","N995NN","SNA","14:15","255"
"AA","01/06/2020","1518","N954NN","RSW","10:32","177"
"AA","01/06/2020","1534","N937AN","RDU","18:45","110"
"AA","01/06/2020","1543","N165NN","SAN","17:14","247"
"AA","01/06/2020","1565","N908AN","MCO","07:00","146"
"AA","01/06/2020","1568","N977NN","SNA","17:14","252"
"AA","01/06/2020","1573","N908AN","SAT","14:27","168"
"AA","01/06/2020","1637","N978NN","LGA","07:30","109"
"AA","01/06/2020","1652","N716UW","PHL","08:14","101"
"AA","01/06/2020","1676","N841NN","CLT","11:58","113"
"AA","01/06/2020","1784","N854NN","MIA","17:35","167"
"AA","01/06/2020","1838","N338PK","FLL","08:35","194"
"AA","01/06/2020","1854","N123UW","PHL","07:00","115"
"AA","01/06/2020","1920","N933AN","PHL","13:20","106"
"AA","01/06/2020","1944","N8009T","JAC","10:35","205"
"AA","01/06/2020","1949","N867NN","DCA","19:27","106"
"AA","01/06/2020","1967","N927AN","TPA","10:10","174"
"AA","01/06/2020","1969","N154UW","PHX","17:10","219"
"AA","01/06/2020","2007","N721UW","PHL","18:55","105"
"AA","01/06/2020","2012","N815NN","MIA","13:55","192"
"AA","01/06/2020","2052","N578UW","CLT","07:09","101"
"AA","01/06/2020","2095","N181UW","PHL","11:42","106"
"AA","01/06/2020","2097","N543UW","PHX","20:33","219"
"AA","01/06/2020","2208","N963NN","AUS","20:34","160"
"AA","01/06/2020","2211","N977NN","RSW","08:45","163"
"AA","01/06/2020","2220","N938AN","DFW","09:59","168"
"AA","01/06/2020","2253","N971NN","LGA","09:30","114"
"AA","01/06/2020","2262","N972AN","LGA","08:30","113"
"AA","01/06/2020","2300","N927AN","DFW","18:20","160"
"AA","01/06/2020","2321","N957NN","BOS","15:10","123"
"AA","01/06/2020","2346","N802AN","DFW","15:50","156"
"AA","01/06/2020","2364","N982NN","LAX","17:00","250"
"AA","01/06/2020","2366","N4032T","ATL","19:00","112"
"AA","01/06/2020","2384","N339PL","BOS","07:10","116"
"AA","01/06/2020","2385","N747UW","ATL","17:00","105"
"AA","01/06/2020","2398","N963NN","MCO","12:57","173"
"AA","01/06/2020","2409","N955AN","TPA","19:00","152"
"AA","01/06/2020","2410","N770UW","MCI","20:30","84"
"AA","01/06/2020","2411","N922AN","MCO","14:55","150"
"AA","01/06/2020","2428","N118NN","DFW","07:30","153"
"AA","01/06/2020","2429","N998NN","DFW","14:52","157"
"AA","01/06/2020","2456","N901NN","LAS","10:15","253"
"AA","01/06/2020","2458","N823AN","DFW","06:30","165"
"AA","01/06/2020","2464","N896NN","LAS","17:15","240"
"AA","01/06/2020","2465","N927NN","LAS","20:25","235"
"AA","01/06/2020","2468","N987NN","SAN","07:20","286"
"AA","01/06/2020","2470","N756US","DEN","09:59","176"
"AA","01/06/2020","2501","N877NN","DFW","16:54","154"
"AA","01/06/2020","2503","N896NN","AUS","09:45","167"
"AA","01/06/2020","2506","N916NN","PHL","20:46","101"
"AA","01/06/2020","2507","N979AN","MIA","07:05","175"
"AA","01/06/2020","2513","N125UW","PHL","22:05","96"
"AA","01/06/2020","2529","N199UW","MCO","19:07","151"
"AA","01/06/2020","2541","N961NN","FLL","18:46","177"
"AA","01/06/2020","2561","N960NN","RSW","12:10","166"
"AA","01/06/2020","2573","N903NN","STL","13:50","80"
"AA","01/06/2020","2608","N508AY","PHL","14:48","108"
"AA","01/06/2020","2611","N132AN","LAX","13:35","257"
"AA","01/06/2020","2633","N756US","DCA","17:12","98"
"AA","01/06/2020","2634","N955NN","SFO","10:55","270"
"AA","01/06/2020","2639","N940AN","SFO","14:45","272"
"AA","01/06/2020","2676","N976NN","CLT","13:46","106"
"AA","01/06/2020","2679","N972AN","DCA","15:31","90"
"AA","01/06/2020","2682","N979NN","BOS","20:35","118"
"AA","01/06/2020","2685","N4032T","EGE","10:37","183"
"AA","01/06/2020","2715","N993NN","LAX","18:39","276"
"AA","01/06/2020","2723","N935AN","BOS","08:19","119"
"AA","01/06/2020","2738","N913NN","DFW","22:13","143"
"AA","01/06/2020","2744","N150NN","LAX","12:07","256"
"AA","01/06/2020","2754","N930NN","DFW","13:25","152"
"AA","01/06/2020","2786","N130AN","LAX","22:17","265"
"AA","01/06/2020","2798","N886NN","SFO","17:01","280"
"AA","01/06/2020","2820","N993NN","BDL","12:05","107"
"AA","01/06/2020","2825","N960NN","ONT","20:25","258"
"AA","01/06/2020","2848","N903NN","RDU","07:04","91"
"AA","01/06/2020","2857","N908AN","CLT","22:00","101"
"AA","01/06/2020","2869","N981NN","FLL","12:00","171"
"AA","01/06/2020","2877","N837AW","SYR","18:54","88"
"AA","01/06/2020","2882","N301NW","TUS","17:05","222"
"AA","01/06/2020","2917","N342PM","PBI","18:39","180"
"AA","01/06/2020","2938","N184US","CLT","08:49","102"
"AA","01/06/2020","2947","N309PC","PSP","10:10","275"
