Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"DL","01/06/2020","0306","N972AT","LGA","07:45","164"
"DL","01/06/2020","0352","N933AT","DTW","12:48","80"
"DL","01/06/2020","0475","N993AT","ATL","08:17","100"
"DL","01/06/2020","0486","N981AT","DTW","09:38","87"
"DL","01/06/2020","0487","N355NB","SEA","06:08","297"
"DL","01/06/2020","0585","N939AT","LGA","12:45","123"
"DL","01/06/2020","0669","N951AT","MSP","17:29","78"
"DL","01/06/2020","0805","N982AT","ATL","19:53","118"
"DL","01/06/2020","0812","N974DL","ATL","13:10","114"
"DL","01/06/2020","0846","N939AT","LGA","19:45","122"
"DL","01/06/2020","0972","N960DN","ATL","12:04","109"
"DL","01/06/2020","0977","N359DN","ATL","05:30","117"
"DL","01/06/2020","1097","N942AT","LGA","16:45","119"
"DL","01/06/2020","1214","N947AT","LGA","14:45","118"
"DL","01/06/2020","1428","N318NB","SLC","07:27","231"
"DL","01/06/2020","1480","N958AT","ATL","07:31","126"
"DL","01/06/2020","1489","N954AT","LGA","13:45","120"
"DL","01/06/2020","1519","N979AT","MSP","12:15","89"
"DL","01/06/2020","1544","N302NB","SEA","19:00","281"
"DL","01/06/2020","1553","N375NC","DTW","19:05","75"
"DL","01/06/2020","1567","N337NW","SLC","18:53","213"
"DL","01/06/2020","1612","N905DL","ATL","16:55","116"
"DL","01/06/2020","1906","N901DE","ATL","18:05","117"
"DL","01/06/2020","1964","N942AT","LGA","09:45","130"
"DL","01/06/2020","2012","N902DE","ATL","09:20","108"
"DL","01/06/2020","2183","N961AT","ATL","10:28","114"
"DL","01/06/2020","2235","N301NB","SLC","13:16","201"
"DL","01/06/2020","2359","N989AT","MSP","19:50","88"
"DL","01/06/2020","2424","N3766","MSP","09:08","87"
"DL","01/06/2020","2560","N323DN","MSP","15:25","70"
"DL","01/06/2020","2596","N359NB","DTW","14:31","72"
"DL","01/06/2020","2626","N966AT","LGA","08:45","135"
"DL","01/06/2020","2741","N991AT","LGA","11:45","113"
"DL","01/06/2020","2775","N895AT","LGA","15:45","122"
"DL","01/06/2020","2828","N923AT","DTW","16:54","74"
"DL","01/06/2020","2859","N967AT","MSP","10:44","81"
"DL","01/06/2020","2890","N972AT","ATL","15:00","109"
"DL","01/06/2020","2917","N359NB","SLC","06:00","230"
"DL","01/06/2020","2931","N991AT","LGA","18:45","129"
"DL","01/06/2020","3002","N966AT","LGA","17:45","120"
"DL","01/06/2020","3014","N951AT","DTW","06:20","68"
"DL","01/06/2020","3078","N365NB","SEA","14:00","278"
