Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"UA","01/06/2020","0202","N213UA","OGG","10:10","578"
"UA","01/06/2020","0203","N4901U","AUS","12:52","179"
"UA","01/06/2020","0206","N36444","MCO","08:06","152"
"UA","01/06/2020","0211","N36247","IAH","15:45","187"
"UA","01/06/2020","0212","N15712","MIA","08:55","172"
"UA","01/06/2020","0219","N212UA","HNL","10:10","559"
"UA","01/06/2020","0220","N57439","MSP","19:55","80"
"UA","01/06/2020","0230","N66803","EWR","14:00","109"
"UA","01/06/2020","0246","N401UA","TPA","18:05","164"
"UA","01/06/2020","0248","N75858","SFO","16:05","273"
"UA","01/06/2020","0250","N68836","DFW","14:00","156"
"UA","01/06/2020","0262","N69888","SEA","19:47","309"
"UA","01/06/2020","0269","N41135","DEN","19:45","152"
"UA","01/06/2020","0301","N12114","BOS","11:25","125"
"UA","01/06/2020","0305","N453UA","ATL","14:16","112"
"UA","01/06/2020","0310","N66897","LAX","11:41","256"
"UA","01/06/2020","0340","N467UA","IAD","13:00","99"
"UA","01/06/2020","0342","N451UA","BOS","06:00","118"
"UA","01/06/2020","0369","N35260","LAX","17:50","269"
"UA","01/06/2020","0373","N420UA","PHX","13:30","245"
"UA","01/06/2020","0374","N13248","IAH","12:45","165"
"UA","01/06/2020","0387","N4901U","BWI","06:00","110"
"UA","01/06/2020","0395","N36444","SAN","16:05","257"
"UA","01/06/2020","0397","N33264","TPA","14:26","159"
"UA","01/06/2020","0403","N73860","DEN","06:45","160"
"UA","01/06/2020","0407","N57869","DEN","16:00","152"
"UA","01/06/2020","0411","N57864","LAX","19:59","268"
"UA","01/06/2020","0422","N69818","SFO","18:11","279"
"UA","01/06/2020","0442","N412UA","BDL","18:30","108"
"UA","01/06/2020","0483","N37437","PHX","19:37","234"
"UA","01/06/2020","0499","N62894","SFO","11:25","281"
"UA","01/06/2020","0501","N56859","DEN","10:23","181"
"UA","01/06/2020","0508","N813UA","FLL","11:25","174"
"UA","01/06/2020","0515","N832UA","SMF","20:15","277"
"UA","01/06/2020","0518","N38479","PDX","19:55","278"
"UA","01/06/2020","0519","N75851","LAS","13:10","247"
"UA","01/06/2020","0521","N851UA","SLC","12:50","214"
"UA","01/06/2020","0531","N18223","LAX","10:18","281"
"UA","01/06/2020","0536","N26208","RSW","14:00","178"
"UA","01/06/2020","0541","N14231","LAS","15:52","232"
"UA","01/06/2020","0547","N16234","EWR","11:45","133"
"UA","01/06/2020","0555","N889UA","FAT","19:45","279"
"UA","01/06/2020","0556","N806UA","BDL","14:45","112"
"UA","01/06/2020","0564","N24211","FLL","18:01","177"
"UA","01/06/2020","0566","N37464","LAX","12:49","269"
"UA","01/06/2020","0578","N495UA","BOS","14:00","119"
"UA","01/06/2020","0592","N74856","LAX","15:53","259"
"UA","01/06/2020","0597","N69819","BWI","18:30","107"
"UA","01/06/2020","0599","N33714","LAS","20:10","226"
"UA","01/06/2020","0613","N451UA","EWR","19:45","115"
"UA","01/06/2020","0622","N69830","MCO","14:33","151"
"UA","01/06/2020","0623","N810UA","SAT","10:10","193"
"UA","01/06/2020","0626","N73270","PHL","18:12","108"
"UA","01/06/2020","0632","N802UA","IAD","09:00","99"
"UA","01/06/2020","0635","N37277","SEA","10:17","335"
"UA","01/06/2020","0636","N61887","EWR","05:55","119"
"UA","01/06/2020","0640","N806UA","PHL","21:05","97"
"UA","01/06/2020","0650","N37298","DSM","21:25","73"
"UA","01/06/2020","0651","N76269","SAN","19:52","267"
"UA","01/06/2020","0664","N819UA","PHL","14:55","113"
"UA","01/06/2020","0667","N421UA","PHX","08:00","242"
"UA","01/06/2020","0669","N819UA","BUF","21:15","84"
"UA","01/06/2020","0670","N75426","BOS","21:26","119"
"UA","01/06/2020","0675","N57869","DEN","08:04","185"
"UA","01/06/2020","0678","N37267","TPA","09:30","153"
"UA","01/06/2020","0679","N810UA","ROC","18:00","100"
"UA","01/06/2020","0682","N403UA","LGA","13:00","125"
"UA","01/06/2020","0692","N66814","DEN","17:57","152"
"UA","01/06/2020","0702","N65832","CLE","18:11","71"
"UA","01/06/2020","0725","N38473","PHX","10:03","233"
"UA","01/06/2020","0729","N78511","BWI","14:00","114"
"UA","01/06/2020","0742","N842UA","RSW","09:23","159"
"UA","01/06/2020","0748","N28457","IAH","08:00","170"
"UA","01/06/2020","0761","N780UA","SFO","08:30","279"
"UA","01/06/2020","0771","N442UA","DFW","10:02","152"
"UA","01/06/2020","0775","N57868","DEN","12:45","164"
"UA","01/06/2020","0776","N67845","MCO","10:01","151"
