Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"AA","01/06/2020","0096","N179UW","CLT","15:45","221"
"AA","01/06/2020","0155","N990AN","STL","16:33","157"
"AA","01/06/2020","0321","N405AN","DCA","15:07","218"
"AA","01/06/2020","0347","N549UW","LAX","15:03","78"
"AA","01/06/2020","0350","N991AU","SNA","11:18","76"
"AA","01/06/2020","0372","N754UW","MSP","09:40","175"
"AA","01/06/2020","0374","N586UW","DFW","16:33","134"
"AA","01/06/2020","0407","N407AN","DFW","07:45","131"
"AA","01/06/2020","0412","N989NN","DEN","17:25","94"
"AA","01/06/2020","0417","N850NN","MCO","16:36","234"
"AA","01/06/2020","0418","N655AW","OAK","21:19","126"
"AA","01/06/2020","0421","N660AW","RNO","17:55","114"
"AA","01/06/2020","0422","N753US","GRR","17:16","228"
"AA","01/06/2020","0425","N680AW","LAS","18:26","67"
"AA","01/06/2020","0432","N412UW","OGG","11:05","383"
"AA","01/06/2020","0438","N200UU","SAN","08:40","74"
"AA","01/06/2020","0445","N545UW","LAX","08:20","83"
"AA","01/06/2020","0449","N667AW","PIT","10:01","213"
"AA","01/06/2020","0450","N848NN","SAT","19:52","117"
"AA","01/06/2020","0452","N652AW","ONT","08:38","81"
"AA","01/06/2020","0455","N680AW","GEG","10:57","167"
"AA","01/06/2020","0460","N965AN","PHL","13:10","236"
"AA","01/06/2020","0462","N662AW","ATL","11:47","197"
"AA","01/06/2020","0470","N748UW","SJC","14:46","112"
"AA","01/06/2020","0478","N205UW","PHL","17:20","239"
"AA","01/06/2020","0480","N185UW","SAN","18:35","64"
"AA","01/06/2020","0482","N663AW","DEN","09:26","101"
"AA","01/06/2020","0486","N576UW","SNA","08:24","76"
"AA","01/06/2020","0491","N562UW","SAN","15:40","70"
"AA","01/06/2020","0492","N757UW","CMH","16:20","210"
"AA","01/06/2020","0493","N650AW","AUS","10:50","129"
"AA","01/06/2020","0496","N764US","COS","16:05","101"
"AA","01/06/2020","0498","N560UW","CLT","11:10","228"
"AA","01/06/2020","0507","N178US","CLT","06:00","204"
"AA","01/06/2020","0509","N810AW","DSM","13:10","157"
"AA","01/06/2020","0524","N966AN","ONT","11:09","84"
"AA","01/06/2020","0536","N650AW","SJC","17:45","114"
"AA","01/06/2020","0542","N656AW","SMF","14:31","114"
"AA","01/06/2020","0546","N850NN","RNO","11:00","124"
"AA","01/06/2020","0549","N144AN","TPA","09:40","248"
"AA","01/06/2020","0556","N979UY","DFW","14:37","122"
"AA","01/06/2020","0559","N507AY","SAN","21:20","68"
"AA","01/06/2020","0567","N510UW","CLT","07:35","212"
"AA","01/06/2020","0568","N656AW","DSM","20:07","163"
"AA","01/06/2020","0570","N749US","SAT","13:24","119"
"AA","01/06/2020","0578","N171US","SEA","18:33","205"
"AA","01/06/2020","0590","N660AW","STL","09:41","157"
"AA","01/06/2020","0599","N970UY","CLT","02:03","205"
"AA","01/06/2020","0602","N868NN","MCO","13:46","227"
"AA","01/06/2020","0604","N651AW","TPA","16:37","212"
"AA","01/06/2020","0613","N753US","OMA","10:05","149"
"AA","01/06/2020","0615","N199UW","ORD","13:11","187"
"AA","01/06/2020","0618","N838AW","CVG","09:52","201"
"AA","01/06/2020","0623","N662AW","MCI","20:05","143"
"AA","01/06/2020","0629","N176UW","PHL","10:55","242"
"AA","01/06/2020","0633","N400AN","DFW","20:09","127"
"AA","01/06/2020","0634","N752US","ONT","21:28","81"
"AA","01/06/2020","0640","N151UW","CLT","00:05","214"
"AA","01/06/2020","0648","N966AN","SLC","15:00","108"
"AA","01/06/2020","0650","N919US","LAX","18:00","82"
"AA","01/06/2020","0652","N651AW","SMF","10:55","132"
"AA","01/06/2020","0655","N400AN","PHL","07:37","236"
"AA","01/06/2020","0663","N403AN","KOA","11:55","376"
"AA","01/06/2020","0667","N751UW","MKE","19:43","188"
"AA","01/06/2020","0672","N207UW","LIH","14:35","408"
"AA","01/06/2020","0678","N829AW","MKE","13:37","188"
"AA","01/06/2020","0682","N551UW","MCO","09:55","236"
"AA","01/06/2020","0684","N204UW","LIH","11:26","400"
"AA","01/06/2020","0686","N922US","SFO","18:20","115"
"AA","01/06/2020","0691","N824NN","AUS","19:45","126"
"AA","01/06/2020","0692","N273AY","HNL","12:25","393"
"AA","01/06/2020","0695","N757UW","OAK","10:55","129"
"AA","01/06/2020","0698","N890NN","DFW","06:15","130"
"AA","01/06/2020","0699","N807AW","GEG","21:17","169"
"AA","01/06/2020","0710","N923US","SEA","12:18","197"
"AA","01/06/2020","0711","N204UW","LAS","06:30","63"
"AA","01/06/2020","0721","N660AW","ATL","23:50","204"
"AA","01/06/2020","0727","N939NN","CLT","13:15","216"
"AA","01/06/2020","0739","N508AY","ORD","09:23","193"
"AA","01/06/2020","0747","N767UW","MCI","13:50","139"
"AA","01/06/2020","0757","N928AM","TPA","11:03","222"
"AA","01/06/2020","0759","N157UW","FLL","22:58","249"
"AA","01/06/2020","0760","N509AY","LAX","10:54","78"
"AA","01/06/2020","0777","N179UW","LAS","11:32","69"
"AA","01/06/2020","0780","N657AW","IND","17:17","182"
"AA","01/06/2020","0782","N181UW","PHL","00:40","233"
"AA","01/06/2020","0794","N819AW","IND","09:40","181"
"AA","01/06/2020","0801","N923US","ORD","20:14","199"
"AA","01/06/2020","0814","N805AW","CMH","09:40","209"
"AA","01/06/2020","0819","N745VJ","FAT","08:23","105"
"AA","01/06/2020","0820","N928AM","LAX","21:43","73"
"AA","01/06/2020","0832","N803AW","FAR","13:10","200"
"AA","01/06/2020","0836","N773XF","FAT","11:00","109"
"AA","01/06/2020","0839","N824AW","SMF","17:45","118"
"AA","01/06/2020","0842","N764US","IAH","09:40","145"
"AA","01/06/2020","0854","N206UW","PHL","09:54","233"
"AA","01/06/2020","0883","N163AA","ORD","14:50","193"
"AA","01/06/2020","0887","N835AW","SAT","16:40","118"
"AA","01/06/2020","0889","N843NN","AUS","17:40","141"
"AA","01/06/2020","0891","N553UW","ORD","16:45","184"
"AA","01/06/2020","0896","N806AW","ONT","15:11","73"
"AA","01/06/2020","0936","N978UY","MCI","09:49","151"
"AA","01/06/2020","0966","N202UW","DCA","09:43","244"
"AA","01/06/2020","0986","N981AN","MIA","23:00","234"
"AA","01/06/2020","1031","N754UW","ONT","18:30","69"
"AA","01/06/2020","1069","N662AW","OAK","06:05","115"
"AA","01/06/2020","1092","N902AN","SLC","11:04","114"
"AA","01/06/2020","1147","N991AU","MIA","15:51","247"
"AA","01/06/2020","1295","N901AA","DFW","22:18","119"
"AA","01/06/2020","1363","N773XF","PSP","19:00","65"
"AA","01/06/2020","1386","N750UW","SLC","18:03","105"
"AA","01/06/2020","1388","N200NV","JFK","16:33","268"
"AA","01/06/2020","1439","N172US","EWR","22:55","242"
"AA","01/06/2020","1476","N848NN","SNA","15:25","77"
"AA","01/06/2020","1542","N905NN","DCA","01:25","230"
"AA","01/06/2020","1557","N409AA","DFW","11:56","130"
"AA","01/06/2020","1562","N572UW","IAH","16:55","152"
"AA","01/06/2020","1569","N860NN","BOS","09:46","263"
"AA","01/06/2020","1580","N832NN","EWR","10:11","259"
"AA","01/06/2020","1583","N898NN","ORD","18:20","186"
"AA","01/06/2020","1588","N663AW","EWR","16:54","275"
"AA","01/06/2020","1597","N154UW","ORD","11:15","185"
"AA","01/06/2020","1658","N202UW","PHL","23:10","239"
"AA","01/06/2020","1679","N653AW","DTW","10:55","202"
"AA","01/06/2020","1696","N272AY","CLT","09:45","230"
"AA","01/06/2020","1743","N540UW","DEN","13:45","101"
"AA","01/06/2020","1760","N745VJ","AUS","13:22","123"
"AA","01/06/2020","1765","N554UW","DFW","08:20","139"
"AA","01/06/2020","1766","N931AM","DFW","17:56","134"
"AA","01/06/2020","1796","N200UU","DFW","13:00","137"
"AA","01/06/2020","1844","N153UW","SFO","11:29","126"
"AA","01/06/2020","1852","N810AW","SBA","08:25","92"
