Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"DL","01/06/2020","0738","N366NB","SLC","11:07","97"
"DL","01/06/2020","0747","N379DA","SEA","08:00","201"
"DL","01/06/2020","0819","N880DN","JFK","06:10","244"
"DL","01/06/2020","0869","N323DN","MSP","07:35","167"
"DL","01/06/2020","1001","N394DX","ATL","07:05","193"
"DL","01/06/2020","1041","N376DN","ATL","14:35","195"
"DL","01/06/2020","1057","N307DX","ATL","23:45","184"
"DL","01/06/2020","1190","N380DA","SEA","12:20","197"
"DL","01/06/2020","1262","N379DA","SEA","15:45","192"
"DL","01/06/2020","1270","N585NW","MSP","12:43","174"
"DL","01/06/2020","1303","N372DN","MSP","17:52","180"
"DL","01/06/2020","1349","N344DN","MSP","19:51","181"
"DL","01/06/2020","1469","N321US","SLC","17:49","95"
"DL","01/06/2020","1562","N3741S","SEA","19:49","213"
"DL","01/06/2020","1595","N355DN","DTW","11:25","201"
"DL","01/06/2020","2143","N311DN","CVG","18:59","183"
"DL","01/06/2020","2213","N363NB","SLC","19:23","95"
"DL","01/06/2020","2271","N365DN","ATL","17:21","192"
"DL","01/06/2020","2338","N368DN","DTW","23:55","209"
"DL","01/06/2020","2354","N391DN","ATL","10:15","209"
"DL","01/06/2020","2365","N369DN","ATL","13:20","208"
"DL","01/06/2020","2520","N383DZ","DTW","07:05","191"
"DL","01/06/2020","2586","N363DN","MSP","10:36","165"
"DL","01/06/2020","2688","N887DN","JFK","12:58","260"
"DL","01/06/2020","2691","N305DN","DTW","13:58","208"
"DL","01/06/2020","2854","N356DN","MSP","15:39","191"
"DL","01/06/2020","2877","N301DV","SLC","14:54","92"
"DL","01/06/2020","2966","N390DN","ATL","06:00","192"
"DL","01/06/2020","3124","N344DN","SLC","06:50","132"
