Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"UA","01/06/2020","0254","N73291","DEN","13:06","98"
"UA","01/06/2020","0316","N37470","IAD","09:45","217"
"UA","01/06/2020","0373","N420UA","DEN","17:40","110"
"UA","01/06/2020","0376","N39418","DEN","14:44","95"
"UA","01/06/2020","0378","N421UA","IAH","11:50","141"
"UA","01/06/2020","0523","N65832","ORD","12:43","193"
"UA","01/06/2020","0656","N893UA","ORD","05:17","184"
"UA","01/06/2020","0725","N39423","IAH","15:13","148"
"UA","01/06/2020","0798","N445UA","EWR","23:55","246"
"UA","01/06/2020","0920","N75429","ORD","07:35","181"
"UA","01/06/2020","1131","N30401","IAH","07:24","141"
"UA","01/06/2020","1273","N39450","SFO","08:49","119"
"UA","01/06/2020","1280","N27239","ORD","10:17","186"
"UA","01/06/2020","1552","N435UA","EWR","11:10","270"
"UA","01/06/2020","1600","N27722","EWR","06:00","239"
"UA","01/06/2020","1638","N62895","IAH","05:15","141"
"UA","01/06/2020","1774","N876UA","DEN","08:05","103"
"UA","01/06/2020","2000","N35271","ORD","15:55","187"
"UA","01/06/2020","2064","N77520","SFO","05:35","117"
"UA","01/06/2020","2128","N16217","SFO","16:53","118"
"UA","01/06/2020","2129","N442UA","SFO","18:37","118"
"UA","01/06/2020","2236","N38473","SFO","13:58","113"
"UA","01/06/2020","2321","N419UA","EWR","16:30","245"
"UA","01/06/2020","2355","N486UA","IAH","17:18","147"
