Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"AA","01/06/2020","0228","N945AN","DFW","10:12","222"
"AA","01/06/2020","0500","N923US","PHX","15:23","148"
"AA","01/06/2020","0564","N191UW","PHL","22:40","284"
"AA","01/06/2020","0600","N198UW","CLT","22:27","272"
"AA","01/06/2020","0690","N146AA","MIA","22:52","316"
"AA","01/06/2020","0766","N976UY","CLT","11:49","276"
"AA","01/06/2020","1045","N962AN","ORD","13:33","236"
"AA","01/06/2020","1165","N913NN","ORD","15:23","227"
"AA","01/06/2020","1471","N933AM","MIA","20:30","323"
"AA","01/06/2020","1540","N963NN","ORD","06:00","231"
"AA","01/06/2020","1667","N153AN","DFW","07:27","218"
"AA","01/06/2020","1859","N535UW","DFW","12:02","205"
"AA","01/06/2020","2062","N901AA","CLT","05:35","268"
"AA","01/06/2020","2197","N172US","PHX","18:12","152"
"AA","01/06/2020","2240","N874NN","DFW","15:52","197"
"AA","01/06/2020","2473","N165NN","DFW","00:42","222"
"AA","01/06/2020","2748","N995AN","DFW","05:14","218"
"AA","01/06/2020","2755","N143AN","DFW","13:44","213"
"AA","01/06/2020","2859","N537UW","PHX","07:20","161"
