Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"DL","01/06/2020","0128","N3756","LAX","09:24","146"
"DL","01/06/2020","0182","N705TW","JFK","11:40","300"
"DL","01/06/2020","0302","N706TW","JFK","23:01","285"
"DL","01/06/2020","0331","N864DN","LAS","11:41","152"
"DL","01/06/2020","0348","N3747D","SAN","11:30","150"
"DL","01/06/2020","0350","N380DA","SAN","15:20","156"
"DL","01/06/2020","0416","N823DX","LIH","15:56","358"
"DL","01/06/2020","0436","N885DN","ATL","13:58","258"
"DL","01/06/2020","0528","N390DA","SLC","18:45","102"
"DL","01/06/2020","0572","N109DU","SJC","07:25","128"
"DL","01/06/2020","0659","N3750D","LAX","07:30","159"
"DL","01/06/2020","0691","N302NB","GEG","22:59","58"
"DL","01/06/2020","0744","N355NB","IND","09:44","237"
"DL","01/06/2020","0780","N387DA","TUS","09:25","162"
"DL","01/06/2020","0781","N538US","PDX","17:37","56"
"DL","01/06/2020","0803","N349NB","SMF","21:17","103"
"DL","01/06/2020","0824","N828DN","SLC","07:01","103"
"DL","01/06/2020","0879","N302NB","ORD","11:19","224"
"DL","01/06/2020","0890","N365NB","ORD","17:51","229"
"DL","01/06/2020","0962","N835DN","ATL","22:50","248"
"DL","01/06/2020","0969","N864DN","PDX","07:30","51"
"DL","01/06/2020","0999","N596NW","MCO","09:15","298"
"DL","01/06/2020","1044","N821DX","ATL","06:15","258"
"DL","01/06/2020","1047","N535US","KOA","12:35","373"
"DL","01/06/2020","1078","N918DU","LAX","15:42","147"
"DL","01/06/2020","1163","N399DA","BOS","10:55","295"
"DL","01/06/2020","1190","N380DA","PHX","07:34","157"
"DL","01/06/2020","1223","N103DU","FAI","20:55","229"
"DL","01/06/2020","1226","N831DN","LAS","09:44","145"
"DL","01/06/2020","1232","N3773D","LAX","13:46","158"
"DL","01/06/2020","1244","N330NB","RDU","11:49","263"
"DL","01/06/2020","1262","N379DA","PHX","11:10","154"
"DL","01/06/2020","1282","N387DA","LAX","17:45","150"
"DL","01/06/2020","1291","N929DZ","LAX","11:41","145"
"DL","01/06/2020","1345","N836DN","DTW","09:55","238"
"DL","01/06/2020","1352","N536US","MSP","06:30","187"
"DL","01/06/2020","1397","N819DX","OGG","12:25","382"
"DL","01/06/2020","1444","N904DN","DTW","06:00","235"
"DL","01/06/2020","1467","N624AG","JFK","07:45","296"
"DL","01/06/2020","1488","N388DA","SAN","09:29","155"
"DL","01/06/2020","1550","N103DU","SJC","13:12","125"
"DL","01/06/2020","1562","N3741S","PHX","15:15","146"
"DL","01/06/2020","1632","N595NW","MSP","11:50","183"
"DL","01/06/2020","1653","N336NB","DEN","07:47","154"
"DL","01/06/2020","1694","N3748Y","LAS","12:18","141"
"DL","01/06/2020","1719","N820DX","ATL","08:11","265"
"DL","01/06/2020","1753","N102DU","SFO","13:47","115"
"DL","01/06/2020","1832","N388DA","SFO","17:00","117"
"DL","01/06/2020","1870","N1610D","ATL","09:45","261"
"DL","01/06/2020","1887","N549US","HNL","12:00","376"
"DL","01/06/2020","1907","N3759","LAX","20:45","150"
"DL","01/06/2020","1910","N378DA","SLC","13:29","99"
"DL","01/06/2020","1957","N872DN","ANC","17:44","218"
"DL","01/06/2020","1985","N849DN","SLC","05:50","107"
"DL","01/06/2020","2011","N115DU","SJC","09:25","124"
"DL","01/06/2020","2064","N3743H","LAS","20:55","139"
"DL","01/06/2020","2124","N374DA","SLC","09:46","101"
"DL","01/06/2020","2147","N868DN","DTW","14:31","229"
"DL","01/06/2020","2220","N349NB","IAD","07:59","286"
"DL","01/06/2020","2232","N822DX","MSP","07:50","199"
"DL","01/06/2020","2260","N587NW","DTW","22:45","233"
"DL","01/06/2020","2379","N355NB","PDX","20:58","50"
"DL","01/06/2020","2414","N544US","LAS","07:30","140"
"DL","01/06/2020","2429","N314NB","SFO","09:25","121"
"DL","01/06/2020","2461","N836DN","MSP","00:25","186"
"DL","01/06/2020","2477","N3748Y","PHX","19:08","151"
"DL","01/06/2020","2490","N102DU","SFO","07:24","136"
"DL","01/06/2020","2523","N913DU","LAX","06:13","153"
"DL","01/06/2020","2527","N314NB","DEN","15:34","153"
"DL","01/06/2020","2600","N914DU","PSP","09:51","180"
"DL","01/06/2020","2621","N381DN","SFO","21:09","116"
"DL","01/06/2020","2637","N3747D","LAS","18:59","133"
"DL","01/06/2020","2721","N834DN","MSP","15:50","189"
"DL","01/06/2020","2760","N3751B","SLC","11:15","105"
"DL","01/06/2020","2764","N319NB","DEN","10:00","150"
"DL","01/06/2020","2793","N544US","LAS","15:30","145"
"DL","01/06/2020","2855","N381DN","ANC","11:35","227"
"DL","01/06/2020","2862","N831DN","SLC","16:55","101"
"DL","01/06/2020","2874","N319NB","BNA","17:11","240"
"DL","01/06/2020","2876","N3760C","AUS","17:24","214"
"DL","01/06/2020","2922","N684DA","ATL","11:33","270"
"DL","01/06/2020","2943","N379DA","SAN","18:57","159"
"DL","01/06/2020","2984","N336NB","SFO","15:18","116"
"DL","01/06/2020","2985","N377DA","DEN","19:25","139"
"DL","01/06/2020","3078","N365NB","ORD","07:00","231"
"DL","01/06/2020","3089","N3741S","SAN","07:38","161"
