Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"UA","01/06/2020","0214","N425UA","SFO","18:36","126"
"UA","01/06/2020","0262","N69888","IAD","23:30","269"
"UA","01/06/2020","0278","N24211","ORD","10:55","219"
"UA","01/06/2020","0419","N36447","IAD","08:15","300"
"UA","01/06/2020","0522","N38403","IAH","08:55","244"
"UA","01/06/2020","0528","N847UA","SFO","07:23","124"
"UA","01/06/2020","0590","N478UA","DEN","06:20","161"
"UA","01/06/2020","0614","N68891","ORD","23:21","199"
"UA","01/06/2020","0670","N37277","ORD","14:05","223"
"UA","01/06/2020","0698","N414UA","SFO","09:34","119"
"UA","01/06/2020","0714","N27421","ORD","00:30","213"
"UA","01/06/2020","0738","N69839","DEN","12:35","149"
"UA","01/06/2020","0816","N78509","SFO","13:45","130"
"UA","01/06/2020","1402","N63890","EWR","13:30","298"
"UA","01/06/2020","1413","N803UA","DEN","15:56","147"
"UA","01/06/2020","1462","N69826","DEN","07:28","139"
"UA","01/06/2020","1695","N66808","EWR","23:00","288"
"UA","01/06/2020","1867","N77431","IAH","12:05","282"
"UA","01/06/2020","2074","N459UA","SFO","19:28","121"
"UA","01/06/2020","2207","N833UA","IAH","14:38","244"
"UA","01/06/2020","2294","N77520","SFO","16:15","121"
"UA","01/06/2020","2440","N464UA","SFO","06:00","125"
