Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"AA","01/06/2020","0152","N998AN","DFW","09:46","187"
"AA","01/06/2020","0164","N104NN","JFK","08:27","298"
"AA","01/06/2020","0166","N117AN","JFK","15:38","313"
"AA","01/06/2020","0215","N875NN","ORD","23:58","239"
"AA","01/06/2020","0324","N974UY","LAX","06:12","88"
"AA","01/06/2020","0343","N858NN","MIA","06:30","306"
"AA","01/06/2020","0345","N342PM","ORD","11:01","243"
"AA","01/06/2020","0383","N393AN","MIA","11:30","312"
"AA","01/06/2020","0497","N804AW","LAX","14:45","90"
"AA","01/06/2020","0547","N922US","PHL","20:47","312"
"AA","01/06/2020","0651","N396AN","PHL","13:15","278"
"AA","01/06/2020","0700","N291AY","PHL","08:30","285"
"AA","01/06/2020","0785","N161UW","CLT","11:19","273"
"AA","01/06/2020","0826","N953NN","LAX","09:23","105"
"AA","01/06/2020","1004","N884NN","DFW","00:35","185"
"AA","01/06/2020","1037","N546UW","PHX","16:10","107"
"AA","01/06/2020","1095","N986NN","LAX","20:34","96"
"AA","01/06/2020","1103","N919US","PHL","23:00","290"
"AA","01/06/2020","1198","N907AA","DFW","06:00","189"
"AA","01/06/2020","1222","N587UW","DFW","15:10","190"
"AA","01/06/2020","1260","N987AM","DFW","12:05","186"
"AA","01/06/2020","1462","N955NN","ORD","14:38","236"
"AA","01/06/2020","1494","N568UW","CLT","05:36","264"
"AA","01/06/2020","1526","N990AU","DFW","07:57","197"
"AA","01/06/2020","1671","N556UW","DFW","13:58","197"
"AA","01/06/2020","1783","N560UW","CLT","22:10","257"
"AA","01/06/2020","1868","N199UW","PHX","08:47","125"
"AA","01/06/2020","1880","N165US","PHX","11:46","108"
"AA","01/06/2020","1900","N820AW","LAX","18:59","100"
"AA","01/06/2020","1956","N153UW","CLT","13:33","287"
"AA","01/06/2020","1960","N973UY","CLT","07:07","269"
"AA","01/06/2020","2548","N863NN","MIA","22:54","308"
"AA","01/06/2020","2614","N949AN","ORD","07:45","222"
"AA","01/06/2020","2683","N904AA","DFW","16:02","197"
"AA","01/06/2020","2691","N982NN","ORD","09:00","260"
"AA","01/06/2020","2890","N906AA","MIA","00:45","302"
"AA","01/06/2020","2892","N926AN","LAX","10:44","100"
