Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"DL","01/06/2020","0426","N722TW","JFK","22:20","302"
"DL","01/06/2020","0430","N718TW","JFK","16:15","302"
"DL","01/06/2020","0505","N883DN","ATL","09:10","248"
"DL","01/06/2020","0522","N318NB","SLC","13:27","119"
"DL","01/06/2020","0592","N712TW","JFK","13:17","322"
"DL","01/06/2020","0745","N878DN","DTW","12:07","257"
"DL","01/06/2020","0757","N723TW","JFK","11:41","315"
"DL","01/06/2020","0854","N914DU","DTW","07:00","252"
"DL","01/06/2020","0868","N713TW","JFK","06:15","306"
"DL","01/06/2020","1011","N821DN","LAX","18:45","101"
"DL","01/06/2020","1210","N906DN","ATL","06:00","246"
"DL","01/06/2020","1241","N102DU","SLC","16:39","101"
"DL","01/06/2020","1292","N672DL","DTW","22:10","248"
"DL","01/06/2020","1327","N317NB","LAX","15:10","88"
"DL","01/06/2020","1344","N903DN","MSP","13:15","207"
"DL","01/06/2020","1390","N332NW","SLC","10:25","112"
"DL","01/06/2020","1411","N917DU","MSP","16:11","208"
"DL","01/06/2020","1446","N848DN","ATL","22:00","243"
"DL","01/06/2020","1806","N315NB","LAX","11:19","71"
"DL","01/06/2020","1832","N388DA","SEA","20:04","157"
"DL","01/06/2020","1845","N812DN","LAX","06:30","77"
"DL","01/06/2020","1847","N891DN","MSP","06:00","208"
"DL","01/06/2020","1859","N706TW","JFK","08:30","300"
"DL","01/06/2020","1865","N668DN","ATL","07:15","257"
"DL","01/06/2020","1894","N847DN","CVG","22:15","243"
"DL","01/06/2020","1938","N810DN","MSP","10:48","205"
"DL","01/06/2020","2002","N110DU","SEA","16:52","127"
"DL","01/06/2020","2049","N586NW","ATL","11:52","255"
"DL","01/06/2020","2313","N393DA","LAX","09:20","82"
"DL","01/06/2020","2370","N898DN","DTW","14:21","252"
"DL","01/06/2020","2381","N846DN","ATL","15:09","248"
"DL","01/06/2020","2401","N3758Y","SLC","06:00","110"
"DL","01/06/2020","2429","N314NB","SEA","12:26","138"
"DL","01/06/2020","2488","N6715C","BOS","12:50","320"
"DL","01/06/2020","2490","N102DU","SEA","10:37","129"
"DL","01/06/2020","2703","N115DU","SEA","06:20","125"
"DL","01/06/2020","2757","N357NW","LAX","17:30","82"
"DL","01/06/2020","2803","N326US","LAX","20:00","83"
"DL","01/06/2020","2984","N336NB","SEA","18:09","133"
"DL","01/06/2020","3008","N865DN","MSP","08:00","208"
"DL","01/06/2020","3040","N919DU","ATL","12:55","270"
