Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"UA","01/06/2020","0213","N588UA","EWR","16:15","307"
"UA","01/06/2020","0223","N75854","DEN","11:00","157"
"UA","01/06/2020","0234","N57857","MCO","08:46","305"
"UA","01/06/2020","0235","N57111","BOS","23:50","312"
"UA","01/06/2020","0242","N33103","BOS","13:50","314"
"UA","01/06/2020","0256","N39450","LAX","10:55","84"
"UA","01/06/2020","0257","N850UA","LAX","22:45","76"
"UA","01/06/2020","0258","N68452","AUS","00:08","197"
"UA","01/06/2020","0277","N803UA","SEA","11:22","146"
"UA","01/06/2020","0285","N34222","IAH","11:33","227"
"UA","01/06/2020","0291","N774UA","IAD","07:30","261"
"UA","01/06/2020","0292","N87527","MCO","13:45","301"
"UA","01/06/2020","0295","N24973","EWR","08:15","282"
"UA","01/06/2020","0300","N778UA","HNL","14:10","323"
"UA","01/06/2020","0309","N485UA","IAD","12:15","285"
"UA","01/06/2020","0351","N68801","SEA","22:57","120"
"UA","01/06/2020","0352","N77530","TPA","09:30","289"
"UA","01/06/2020","0353","N424UA","SAN","16:48","88"
"UA","01/06/2020","0358","N214UA","LAS","11:10","98"
"UA","01/06/2020","0365","N847UA","PHL","08:58","311"
"UA","01/06/2020","0368","N459UA","PSP","11:22","83"
"UA","01/06/2020","0384","N69829","PHL","23:32","303"
"UA","01/06/2020","0390","N17244","ORD","15:35","230"
"UA","01/06/2020","0394","N214UA","LAS","17:20","90"
"UA","01/06/2020","0431","N57439","DEN","06:40","148"
"UA","01/06/2020","0433","N437UA","LAX","12:30","78"
"UA","01/06/2020","0447","N459UA","SEA","16:24","130"
"UA","01/06/2020","0472","N464UA","RDU","09:15","291"
"UA","01/06/2020","0481","N77530","PDX","22:30","96"
"UA","01/06/2020","0505","N39423","IAH","23:55","230"
"UA","01/06/2020","0516","N57111","IAD","09:30","296"
"UA","01/06/2020","0517","N37273","IAD","16:45","282"
"UA","01/06/2020","0535","N587UA","EWR","11:20","339"
"UA","01/06/2020","0540","N38446","IAH","07:40","226"
"UA","01/06/2020","0555","N77520","SAN","07:15","86"
"UA","01/06/2020","0574","N73283","FLL","14:15","309"
"UA","01/06/2020","0575","N894UA","ATL","10:42","246"
"UA","01/06/2020","0612","N814UA","PDX","15:08","115"
"UA","01/06/2020","0613","N87512","LAX","08:00","91"
"UA","01/06/2020","0616","N1902U","ORD","06:50","240"
"UA","01/06/2020","0631","N426UA","SNA","11:00","87"
"UA","01/06/2020","0639","N74856","ORD","08:30","253"
"UA","01/06/2020","0653","N17122","LAX","09:30","97"
"UA","01/06/2020","0681","N76508","LAS","20:13","88"
